Product,Pen or vial,Total mg,Price,Shelf life refrigerated,Notes,URL,Category,Scraped,Source
NAD+ 1000mg Vial,Vial,1000 mg,$120.00,4–6 weeks refrigerated (2–8°C),"Title says 1000 mg and specs say Total NAD+: 1000 mg, but the intro line says 500mg and concentration is 50 mg/mL × 10 mL (= 500 mg).",https://palmbeach-vitality.store/product/nad-1000mg/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
NAD+ 500mg Vial,Vial,500 mg,$90.00,4–6 weeks refrigerated (2–8°C),Title and header are 500 mg; specs also say Total NAD+: 1000 mg and 50 mg/mL in 10 mL (= 500 mg).,https://palmbeach-vitality.store/product/nad-500mg/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
NAD+ Pen 1000mg,Pen,1000 mg NAD+,,4–6 weeks refrigerated (2–8°C),Price not listed / not purchasable on scrape date.,https://palmbeach-vitality.store/product/nad-pen-1000mg/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
NAD+ Pen 500mg,Pen,500 mg NAD+,$70.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/nad-pen-500mg/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
PT-141 Pen,Pen,10 mg PT-141,$150.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/pt-141-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
PT-141 Vial,Vial,20 mg PT-141,$150.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/pt-141-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
Retatrutide 100mg,Vial,100 mg,$600.00,Not listed on product page,,https://palmbeach-vitality.store/product/retatrutide-100mg/,Weight Loss,2026-08-27,https://palmbeach-vitality.store/shop/
Retatrutide 16mg Pen,Pen,16 mg,$199.00,Not listed on product page,,https://palmbeach-vitality.store/product/retatrutide-16mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Retatrutide 200mg,Vial,200 mg,$1200.00,Not listed on product page,,https://palmbeach-vitality.store/product/retatrutide-200mg/,Weight Loss,2026-08-27,https://palmbeach-vitality.store/shop/
Retatrutide 24mg Pen,Pen,24 mg,$249.00,Not listed on product page,,https://palmbeach-vitality.store/product/retatrutide-24mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Retatrutide 32mg Pen,Pen,32 mg,$299.00,Not listed on product page,,https://palmbeach-vitality.store/product/retatrutide-32mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Retatrutide 40mg Pen,Pen,40 mg,$319.00,Not listed on product page,,https://palmbeach-vitality.store/product/retatrutide-40mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Retatrutide 60mg,Vial,60 mg,$500.00,Not listed on product page,,https://palmbeach-vitality.store/product/retatrutide-60mg/,Weight Loss,2026-08-27,https://palmbeach-vitality.store/shop/
Retatrutide 8mg Pen,Pen,8 mg,$160.00,Not listed on product page,,https://palmbeach-vitality.store/product/retatrutide-8mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Selank Pen,Pen,20 mg Selank,$150.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/selank-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Selank Vial,Vial,10 mg Selank,$150.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/selank-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
Semaglutide 1.5mg Pen,Pen,1.5 mg,$100.00,Not listed on product page,,https://palmbeach-vitality.store/product/semaglutide-1-5mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Semaglutide 10mg Pen,Pen,10 mg,$210.00,Not listed on product page,,https://palmbeach-vitality.store/product/semaglutide-10mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Semaglutide 15mg Pen,Pen,15 mg,$240.00,Not listed on product page,,https://palmbeach-vitality.store/product/semaglutide-15mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Semaglutide 25mg,Vial,25 mg,$400.00,Not listed on product page,,https://palmbeach-vitality.store/product/semaglutide-25mg/,Weight Loss,2026-08-27,https://palmbeach-vitality.store/shop/
Semaglutide 3.5mg Pen,Pen,3.5 mg,$110.00,Not listed on product page,,https://palmbeach-vitality.store/product/semaglutide-3-5mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Semaglutide 5.5mg Pen,Pen,5.5 mg,$125.00,Not listed on product page,,https://palmbeach-vitality.store/product/semaglutide-5-5mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Semaglutide 50mg,Vial,50 mg,$550.00,Not listed on product page,,https://palmbeach-vitality.store/product/semaglutide-50mg/,Weight Loss,2026-08-27,https://palmbeach-vitality.store/shop/
Semaglutide 7.5mg Pen,Pen,7.5 mg,$145.00,Not listed on product page,,https://palmbeach-vitality.store/product/semaglutide-7-5mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Semax Pen,Pen,,$150.00,4–6 weeks refrigerated (2–8°C),"Product page copy is PT-141 10 mg pen, not Semax. Total mg not confirmed for Semax.",https://palmbeach-vitality.store/product/semax-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Semax Vial,Vial,20 mg Semax,$150.00,4–6 weeks refrigerated (2–8°C),Listed as a vial; page copy describes a 3 mL pen.,https://palmbeach-vitality.store/product/semax-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
Sermorelin Pen,Pen,10 mg Sermorelin,$170.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/sermorelin-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Sermorelin Vial,Vial,20 mg Sermorelin,$170.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/sermorelin-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
SS-31 Pen,Pen,50 mg SS-31,$200.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/ss-31-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
SS-31 Vial,Vial,10 mg SS-31,$200.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/ss-31-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
TA-1,Pen,,$175.00,4–6 weeks refrigerated (2–8°C),"Product page copy is Sermorelin 10 mg pen, not TA-1. Total mg not confirmed for TA-1.",https://palmbeach-vitality.store/product/ta-1-2/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
TA-1 Vial,Vial,10 mg TA-1,$110.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/ta-1/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
TB-500 Vial,Vial,10 mg TB-500,$110.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/tb-500-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
Tesamorelin 10mg Pen,Pen,10 mg Tesamorelin,$150.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/tesamorelin-10mg-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Tesamorelin 30mg Pen,Pen,30 mg Tesamorelin,$180.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/tesamorelin-30mg-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Tesamorelin Vial,Vial,30 mg Tesamorelin,$150.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/tesamorelin-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
Tesamorelin/Ipamorelin Pen,Pen,12 mg Tesamorelin; 3 mg Ipamorelin,$210.00,4–6 weeks refrigerated (2–8°C),"Blend — amounts are per compound, not a single total.",https://palmbeach-vitality.store/product/tesamorelin-ipamorelin-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Tirzepatide 100mg,Vial,100 mg,$600.00,Not listed on product page,,https://palmbeach-vitality.store/product/tirzepatide-100mg/,Weight Loss,2026-08-27,https://palmbeach-vitality.store/shop/
Tirzepatide 10mg Pen,Pen,10 mg,$120.00,Not listed on product page,,https://palmbeach-vitality.store/product/tirzepatide-10mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Tirzepatide 200mg,Vial,200 mg,$1150.00,Not listed on product page,,https://palmbeach-vitality.store/product/tirzepatide-200mg/,Weight Loss,2026-08-27,https://palmbeach-vitality.store/shop/
Tirzepatide 20mg Pen,Pen,20 mg,$220.00,Not listed on product page,,https://palmbeach-vitality.store/product/tirzepatide-20mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Tirzepatide 30mg Pen,Pen,30 mg,$310.00,Not listed on product page,,https://palmbeach-vitality.store/product/tirzepatide-30mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Tirzepatide 40mg Pen,Pen,40 mg,$380.00,Not listed on product page,,https://palmbeach-vitality.store/product/tirzepatide-40mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Tirzepatide 50mg Pen,Pen,50 mg,$420.00,Not listed on product page,,https://palmbeach-vitality.store/product/tirzepatide-50mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Tirzepatide 60mg Pen,Pen,60 mg,$400.00,Not listed on product page,,https://palmbeach-vitality.store/product/tirzepatide-60mg-pen/,Weight Loss Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Wolverine Pen,Pen,10 mg BPC-157; 10 mg TB-500,$150.00,4–6 weeks refrigerated (2–8°C),"Blend — amounts are per compound, not a single total.",https://palmbeach-vitality.store/product/wolverine-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Wolverine Vial,Vial,10 mg BPC-157; 10 mg TB-500,$150.00,4–6 weeks refrigerated (2–8°C),"Blend — amounts are per compound, not a single total.",https://palmbeach-vitality.store/product/wolverine-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
