Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Auto Reply Email (product.metafields.custom.auto_reply_email),Custom Email Reply (product.metafields.custom.custom_email_reply),Active ingredient (product.metafields.shopify.active-ingredient),Chemical grade (product.metafields.shopify.chemical-grade),Chemical purity (product.metafields.shopify.chemical-purity),Disclosures (product.metafields.shopify.disclosure),Medicine/Drug form (product.metafields.shopify.medicine-drug-form),Route of administration (product.metafields.shopify.route-of-administration),Treatment objective (product.metafields.shopify.treatment-objective),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mots-c,MOTS-C Pen,"<p dir=""auto""><strong>MOTS-c 3 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> MOTS-c is a mitochondrial-derived peptide encoded by the 12S rRNA region of the mitochondrial genome.</p>
<p dir=""auto""><strong>Product Specifications – MOTS-c 20 mg 3 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total MOTS-c: 20 mg</li>
<li>Volume: 3 mL pre-filled pen</li>
<li>Concentration: ≈6.67 mg/mL</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Mitochondrial signaling and metabolic regulation research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt="""">
</li>
</ul>",Palm Beach Vitality,Health & Beauty > Health Care > Medicine & Drugs,Peptide,"",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,160.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image-2026-07-14T152421.390.jpg?v=1784057081,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,fat-loss; comfort; support; weight-loss; focus; cognitive,,lb,,,active
nad,NAD+ Pen 1000mg,"<p dir=""auto""><strong>NAD+ 3 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> NAD+ (nicotinamide adenine dinucleotide, oxidized form) is a critical coenzyme involved in cellular redox reactions and energy metabolism.</p>
<p dir=""auto""><strong>Product Specifications – NAD+ 1000 mg 3 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total NAD+: 1000 mg</li>
<li>Volume: 3 mL pre-filled pen</li>
<li>Concentration: ≈333.3 mg/mL</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Cellular energy metabolism and redox research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear liquid</li>
<li>Solubility: Already in aqueous solution. Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt="""">
</li>
</ul>",Palm Beach Vitality,Health & Beauty > Health Care > Medicine & Drugs,Peptide,"pen, Peptides",false,Title,Default Title,,,,,,,,,0.0,,deny,manual,180.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image-2026-07-14T153528.794.jpg?v=1784057744,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,anti-aging; cognitive; mood; support; immune-support,,lb,,,archived
pt-141-pen,PT-141 Pen,"<p dir=""auto""><strong>PT-141 3 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> PT-141 is a synthetic cyclic heptapeptide analog of α-melanocyte-stimulating hormone (α-MSH).</p>
<p dir=""auto""><strong>Product Specifications – PT-141 10 mg 3 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total PT-141: 10 mg</li>
<li>Volume: 3 mL pre-filled pen</li>
<li>Concentration: ≈3.33 mg/mL</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Central melanocortin receptor activation research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>
<span>Refrigerated</span><span> </span><span>at</span><span> </span><span>2–8°C</span><span> </span><span>(36–46°F).</span><span> </span><span>Practical</span><span> </span><span>shelf</span><span> </span><span>life</span><span> </span><span>is</span><span> </span><strong>4–6 weeks</strong><span> </span><span>when</span><span> </span><span>protected</span><span> </span><span>from</span><span> </span><span>light</span><span> </span><span>and</span><span> </span><span>handled</span><span> </span><span>with</span><span> </span><span>aseptic</span><span> </span><span>technique.</span>
</li>
<li>
<span>Do</span><span> </span><span>not</span><span> </span><span>freeze.</span><span> </span><span>Avoid</span><span> </span><span>prolonged</span><span> </span><span>room-temperature</span><span> </span><span>exposure.</span>
</li>
<li>
<span>Discard</span><span> </span><span>after</span><span> </span><span>6</span><span> </span><span>weeks</span><span> </span><span>or</span><span> </span><span>if</span><span> </span><span>the</span><span> </span><span>solution</span><span> </span><span>becomes</span><span> </span><span>cloudy,</span><span> </span><span>discolored,</span><span> </span><span>or</span><span> </span><span>shows</span><span> </span><span>particulate</span><span> </span><span>matter.</span>
</li>
<li>
<span>Protect</span><span> </span><span>from</span><span> </span><span>light</span><span> </span><span>and</span><span> </span><span>moisture</span><span> </span><span>at</span><span> </span><span>all</span><span> </span><span>times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""></span>
</li>
</ul>",Palm Beach Vitality,Health & Beauty > Health Care > Medicine & Drugs,Peptide,Peptides,false,Title,Default Title,,,,,,,,,0.0,,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/PT-141_Pen.jpg?v=1784125282,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,libido-1; sexual-health; mood,,lb,,,suspended
semax-pen,Semax Pen,"<p dir=""auto""><strong>PT-141 3 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> PT-141 is a synthetic cyclic heptapeptide analog of α-melanocyte-stimulating hormone (α-MSH).</p>
<p dir=""auto""><strong>Product Specifications – PT-141 10 mg 3 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total PT-141: 10 mg</li>
<li>Volume: 3 mL pre-filled pen</li>
<li>Concentration: ≈3.33 mg/mL</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Central melanocortin receptor activation research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>
<span>Refrigerated</span><span> </span><span>at</span><span> </span><span>2–8°C</span><span> </span><span>(36–46°F).</span><span> </span><span>Practical</span><span> </span><span>shelf</span><span> </span><span>life</span><span> </span><span>is</span><span> </span><strong>4–6 weeks</strong><span> </span><span>when</span><span> </span><span>protected</span><span> </span><span>from</span><span> </span><span>light</span><span> </span><span>and</span><span> </span><span>handled</span><span> </span><span>with</span><span> </span><span>aseptic</span><span> </span><span>technique.</span>
</li>
<li>
<span>Do</span><span> </span><span>not</span><span> </span><span>freeze.</span><span> </span><span>Avoid</span><span> </span><span>prolonged</span><span> </span><span>room-temperature</span><span> </span><span>exposure.</span>
</li>
<li>
<span>Discard</span><span> </span><span>after</span><span> </span><span>6</span><span> </span><span>weeks</span><span> </span><span>or</span><span> </span><span>if</span><span> </span><span>the</span><span> </span><span>solution</span><span> </span><span>becomes</span><span> </span><span>cloudy,</span><span> </span><span>discolored,</span><span> </span><span>or</span><span> </span><span>shows</span><span> </span><span>particulate</span><span> </span><span>matter.</span>
</li>
<li>
<span>Protect</span><span> </span><span>from</span><span> </span><span>light</span><span> </span><span>and</span><span> </span><span>moisture</span><span> </span><span>at</span><span> </span><span>all</span><span> </span><span>times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""></span>
</li>
</ul>",Palm Beach RX,Health & Beauty > Health Care > Medicine & Drugs,Peptide,"pen, Peptides",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/Semax_pen.jpg?v=1784126832,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,focus; cognitive; memory,,lb,,,active
selank-pen,Selank Pen,"<p dir=""auto""><strong>Selank 3 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Selank is a synthetic heptapeptide analog of the immunomodulatory peptide tuftsin.</p>
<p dir=""auto""><strong>Product Specifications – Selank 20 mg 3 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Selank: 20 mg</li>
<li>Volume: 3 mL pre-filled pen</li>
<li>Concentration: ≈6.67 mg/mL</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Tuftsin analog and neuropeptide research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt="""">
</li>
</ul>",Palm Beach Vitality,Health & Beauty > Health Care > Medicine & Drugs,Peptide,"pen, Peptides",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/Selank_pen.jpg?v=1784128988,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,comfort; mood; cognitive; focus,,lb,,,active
sermorelin-pen,Sermorelin Pen,"<div>
<div>
<p dir=""auto""><strong>Sermorelin 3 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Sermorelin is a synthetic 29-amino acid peptide corresponding to the biologically active N-terminal fragment of human growth hormone-releasing hormone (GHRH 1-29).</p>
<p dir=""auto""><strong>Product Specifications – Sermorelin 10 mg 3 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Sermorelin: 10 mg</li>
<li>Volume: 3 mL pre-filled pen</li>
<li>Concentration: ≈3.33 mg/mL</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Growth hormone release and GH axis research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt="""">
</li>
</ul>
</div>
</div>",Palm Beach Vitality,Health & Beauty > Health Care > Medicine & Drugs,Peptide,"pen, Peptides",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,170.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/Sermorelin_pen.jpg?v=1784131338,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,muscle-growth; tissue-repair; fat-loss; support; anti-aging; skin-repair,,lb,,,active
ta-2,TA-1,"<div>
<div>
<p dir=""auto""><strong>Sermorelin 3 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Sermorelin is a synthetic 29-amino acid peptide corresponding to the biologically active N-terminal fragment of human growth hormone-releasing hormone (GHRH 1-29).</p>
<p dir=""auto""><strong>Product Specifications – Sermorelin 10 mg 3 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Sermorelin: 10 mg</li>
<li>Volume: 3 mL pre-filled pen</li>
<li>Concentration: ≈3.33 mg/mL</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Growth hormone release and GH axis research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt="""">
</li>
</ul>
</div>
<div><br></div>
</div>",Palm Beach Vitality,Health & Beauty > Health Care > Medicine & Drugs,Peptide,"pen, Peptides",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,175.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/TA-1_PEN.jpg?v=1784132817,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,support; t-cell; immune-support; comfort,,lb,,,active
tesamorelin-10mg-pen,Tesamorelin 10mg Pen,"<p dir=""auto""><strong>Tesamorelin 3 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Tesamorelin is a synthetic 44-amino acid analog of growth hormone-releasing hormone (GHRH) featuring an N-terminal trans-3-hexenoyl modification.</p>
<p dir=""auto""><strong>Product Specifications – Tesamorelin 10 mg 3 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Tesamorelin: 10 mg</li>
<li>Volume: 3 mL pre-filled pen</li>
<li>Concentration: ≈3.33 mg/mL</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> GHRH receptor activation and growth hormone release research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt="""">
</li>
</ul>",Palm Beach Vitality,Health & Beauty > Health Care > Medicine & Drugs,Peptide,"pen, Peptides",false,Title,Default Title,,,,,,,,,0.0,,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/Tesamorelin_pen10mg.jpg?v=1784135956,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,fat-loss; support; bowel-cleansing; weight-loss,,lb,,,suspended
tesamorelin-30mg-pen,Tesamorelin 30mg Pen,"<div>
<div>
<p dir=""auto""><strong>Tesamorelin 3 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Tesamorelin is a synthetic 44-amino acid analog of growth hormone-releasing hormone (GHRH) featuring an N-terminal trans-3-hexenoyl modification.</p>
<p dir=""auto""><strong>Product Specifications – Tesamorelin 30 mg 3 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Tesamorelin: 30 mg</li>
<li>Volume: 3 mL pre-filled pen</li>
<li>Concentration: ≈10 mg/mL</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> GHRH receptor activation and growth hormone release research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>
<span>Refrigerated</span><span> </span><span>at</span><span> </span><span>2–8°C</span><span> </span><span>(36–46°F).</span><span> </span><span>Practical</span><span> </span><span>shelf</span><span> </span><span>life</span><span> </span><span>is</span><span> </span><strong>4–6 weeks</strong><span> </span><span>when</span><span> </span><span>protected</span><span> </span><span>from</span><span> </span><span>light</span><span> </span><span>and</span><span> </span><span>handled</span><span> </span><span>with</span><span> </span><span>aseptic</span><span> </span><span>technique.</span>
</li>
<li>
<span>Do</span><span> </span><span>not</span><span> </span><span>freeze.</span><span> </span><span>Avoid</span><span> </span><span>prolonged</span><span> </span><span>room-temperature</span><span> </span><span>exposure.</span>
</li>
<li>
<span>Discard</span><span> </span><span>after</span><span> </span><span>6</span><span> </span><span>weeks</span><span> </span><span>or</span><span> </span><span>if</span><span> </span><span>the</span><span> </span><span>solution</span><span> </span><span>becomes</span><span> </span><span>cloudy,</span><span> </span><span>discolored,</span><span> </span><span>or</span><span> </span><span>shows</span><span> </span><span>particulate</span><span> </span><span>matter.</span>
</li>
<li>
<span>Protect</span><span> </span><span>from</span><span> </span><span>light</span><span> </span><span>and</span><span> </span><span>moisture</span><span> </span><span>at</span><span> </span><span>all</span><span> </span><span>times.</span><img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt="""">
</li>
</ul>
</div>
</div>
<section></section>",Palm Beach Vitality,Health & Beauty > Health Care > Medicine & Drugs,Peptide,"pen, Peptides",false,Title,Default Title,,,,,,,,,0.0,,deny,manual,180.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/Tesamorelin_pen30mg.jpg?v=1784136478,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,tissue-repair; fat-loss; support; weight-loss; bowel-cleansing,,lb,,,suspended
tesamorelin-ipamorelin-pen,Tesamorelin/Ipamorelin Pen,"<div>
<div>
<p dir=""auto""><strong>Tesamorelin / Ipamorelin 3 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> This is a dual-peptide research blend combining Tesamorelin (synthetic 44-amino acid GHRH analog with N-terminal trans-3-hexenoyl modification) and Ipamorelin (selective growth hormone secretagogue / ghrelin mimetic).</p>
<p dir=""auto""><strong>Product Specifications – Tesamorelin / Ipamorelin 12 mg / 3 mg 3 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Tesamorelin: 12 mg</li>
<li>Total Ipamorelin: 3 mg</li>
<li>Volume: 3 mL pre-filled pen</li>
<li>Concentration: ≈4 mg/mL Tesamorelin + ≈1 mg/mL Ipamorelin</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Growth hormone release research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research blend. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt="""">
</li>
</ul>
</div>
</div>",Palm Beach Vitality,Health & Beauty > Health Care > Medicine & Drugs,Peptide,"pen, Peptides",false,Title,Default Title,,,,,,,,,0.0,,deny,manual,210.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/tesa_ipa_pen_deaa2985-7237-411c-94f1-43043b6005a0.jpg?v=1784146554,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,tissue-repair; muscle-growth; fat-loss; support; weight-loss; skin-repair; sleep,,lb,,,suspended
