Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Allow customer reviews?,Regular price,Categories,Tags,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _purity,Meta: _research_use_only
variable,PBP-IPAMORELIN,Ipamorelin,1,0,visible,Growth Hormone Secretagogue · 99.9% purity,<p>Selective GH secretagogue for growth hormone release mechanism studies.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>,taxable,,1,,0,0,0,,Hormonal,"research,ipamorelin",,,0,Size,"2mg, 5mg, 10mg",1,1,Form,"Lyophilized, Liquid Vial, Injectable Pen",1,1,99.9%,yes
variation,PBP-IPAMORELIN-2mg-lyophilized,"Ipamorelin - 2mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-IPAMORELIN,1,Size,2mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-IPAMORELIN-2mg-liquid-vial,"Ipamorelin - 2mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-IPAMORELIN,2,Size,2mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-IPAMORELIN-2mg-injectable-pen,"Ipamorelin - 2mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-IPAMORELIN,3,Size,2mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variation,PBP-IPAMORELIN-5mg-lyophilized,"Ipamorelin - 5mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-IPAMORELIN,4,Size,5mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-IPAMORELIN-5mg-liquid-vial,"Ipamorelin - 5mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-IPAMORELIN,5,Size,5mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-IPAMORELIN-5mg-injectable-pen,"Ipamorelin - 5mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-IPAMORELIN,6,Size,5mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variation,PBP-IPAMORELIN-10mg-lyophilized,"Ipamorelin - 10mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-IPAMORELIN,7,Size,10mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-IPAMORELIN-10mg-liquid-vial,"Ipamorelin - 10mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-IPAMORELIN,8,Size,10mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-IPAMORELIN-10mg-injectable-pen,"Ipamorelin - 10mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-IPAMORELIN,9,Size,10mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variable,PBP-CJC-1295,CJC-1295 (DAC),1,0,visible,GHRH Analog · 99.9% purity,<p>Long-acting growth hormone releasing hormone analog for GH research.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>,taxable,,1,,0,0,0,,Hormonal,"research,cjc-1295",,,0,Size,"2mg, 5mg",1,1,Form,"Lyophilized, Liquid Vial",1,1,99.9%,yes
variation,PBP-CJC-1295-2mg-lyophilized,"CJC-1295 (DAC) - 2mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-CJC-1295,1,Size,2mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-CJC-1295-2mg-liquid-vial,"CJC-1295 (DAC) - 2mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-CJC-1295,2,Size,2mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-CJC-1295-5mg-lyophilized,"CJC-1295 (DAC) - 5mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-CJC-1295,3,Size,5mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-CJC-1295-5mg-liquid-vial,"CJC-1295 (DAC) - 5mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-CJC-1295,4,Size,5mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variable,PBP-TESAMORELIN,Tesamorelin,1,0,visible,GHRH Analog · 99.9% purity,<p>Studied for visceral fat reduction and GH axis research.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>,taxable,,1,,0,0,0,,Hormonal,"research,tesamorelin",,,0,Size,"2mg, 5mg",1,1,Form,"Lyophilized, Liquid Vial",1,1,99.9%,yes
variation,PBP-TESAMORELIN-2mg-lyophilized,"Tesamorelin - 2mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TESAMORELIN,1,Size,2mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-TESAMORELIN-2mg-liquid-vial,"Tesamorelin - 2mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TESAMORELIN,2,Size,2mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-TESAMORELIN-5mg-lyophilized,"Tesamorelin - 5mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TESAMORELIN,3,Size,5mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-TESAMORELIN-5mg-liquid-vial,"Tesamorelin - 5mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TESAMORELIN,4,Size,5mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variable,PBP-KPV,KPV,1,0,visible,α-MSH Fragment · 99.9% purity,<p>Anti-inflammatory and gut barrier research peptide.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>,taxable,,1,,0,0,0,,Immune,"research,kpv",,,0,Size,"5mg, 10mg",1,1,Form,"Lyophilized, Liquid Vial",1,1,99.9%,yes
variation,PBP-KPV-5mg-lyophilized,"KPV - 5mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-KPV,1,Size,5mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-KPV-5mg-liquid-vial,"KPV - 5mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-KPV,2,Size,5mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-KPV-10mg-lyophilized,"KPV - 10mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-KPV,3,Size,10mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-KPV-10mg-liquid-vial,"KPV - 10mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-KPV,4,Size,10mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variable,PBP-NAD,NAD+,1,0,visible,Nicotinamide Adenine Dinucleotide · 99.9% purity,<p>Critical coenzyme for cellular energy and longevity research.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>,taxable,,1,,0,0,0,,Immune,"research,nad",,,0,Size,"100mg, 500mg",1,1,Form,"Lyophilized, Liquid Vial",1,1,99.9%,yes
variation,PBP-NAD-100mg-lyophilized,"NAD+ - 100mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-NAD,1,Size,100mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-NAD-100mg-liquid-vial,"NAD+ - 100mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-NAD,2,Size,100mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-NAD-500mg-lyophilized,"NAD+ - 500mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-NAD,3,Size,500mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-NAD-500mg-liquid-vial,"NAD+ - 500mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-NAD,4,Size,500mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variable,PBP-WOLVERINE,Wolverine,1,0,visible,BPC-157 + TB-500 · 99.9% purity,<p>Synergistic recovery stack for comprehensive tissue repair research.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>,taxable,,1,,0,0,0,,Stacks,"research,wolverine",,,0,Size,"5mg each, 10mg each",1,1,Form,"Lyophilized, Liquid Vial, Injectable Pen",1,1,99.9%,yes
variation,PBP-WOLVERINE-5mg-each-lyophilized,"Wolverine - 5mg each, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-WOLVERINE,1,Size,5mg each,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-WOLVERINE-5mg-each-liquid-vial,"Wolverine - 5mg each, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-WOLVERINE,2,Size,5mg each,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-WOLVERINE-5mg-each-injectable-pen,"Wolverine - 5mg each, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-WOLVERINE,3,Size,5mg each,1,1,Form,Injectable Pen,1,1,99.9%,yes
variation,PBP-WOLVERINE-10mg-each-lyophilized,"Wolverine - 10mg each, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-WOLVERINE,4,Size,10mg each,1,1,Form,Lyophilized,1,1,99.9%,yes
