category,name,slug,permalink,desc_len,missing_description,has_ruo_banner,has_science_section,has_specs_section,preview
peptide-pens,Semax Pen,semax-pen,https://palmbeach-vitality.store/product/semax-pen/,1451,False,True,True,True,"PT-141 3 mL Pen The Science, Simplified: PT-141 is a synthetic cyclic heptapeptide analog "
peptide-pens,Sermorelin Pen,sermorelin-pen,https://palmbeach-vitality.store/product/sermorelin-pen/,1527,False,True,True,True,"Sermorelin 3 mL Pen The Science, Simplified: Sermorelin is a synthetic 29-amino acid pepti"
peptide-pens,TA-1,ta-1-2,https://palmbeach-vitality.store/product/ta-1-2/,1527,False,True,True,True,"Sermorelin 3 mL Pen The Science, Simplified: Sermorelin is a synthetic 29-amino acid pepti"
peptide-pens,Tesamorelin 10mg Pen,tesamorelin-10mg-pen,https://palmbeach-vitality.store/product/tesamorelin-10mg-pen/,1529,False,True,True,True,"Tesamorelin 3 mL Pen The Science, Simplified: Tesamorelin is a synthetic 44-amino acid ana"
peptide-pens,Tesamorelin 30mg Pen,tesamorelin-30mg-pen,https://palmbeach-vitality.store/product/tesamorelin-30mg-pen/,1527,False,True,True,True,"Tesamorelin 3 mL Pen The Science, Simplified: Tesamorelin is a synthetic 44-amino acid ana"
peptide-pens,Tesamorelin/Ipamorelin Pen,tesamorelin-ipamorelin-pen,https://palmbeach-vitality.store/product/tesamorelin-ipamorelin-pen/,1656,False,True,True,True,"Tesamorelin / Ipamorelin 3 mL Pen The Science, Simplified: This is a dual-peptide research"
peptide-pens,Wolverine Pen,wolverine-pen,https://palmbeach-vitality.store/product/wolverine-pen/,1605,False,True,True,True,"Wolverine (BPC-157 / TB-500) 3 mL Pen The Science, Simplified: This is a dual-peptide rese"
peptides,AOD-9604 Vial,aod-9604,https://palmbeach-vitality.store/product/aod-9604/,1384,False,True,True,True,"AOD-9604 10 mL Vial The Science, Simplified: AOD-9604 is a synthetic 16-amino acid peptide"
peptides,BPC-157 10mg Vial,bpc-157-10mg-vial,https://palmbeach-vitality.store/product/bpc-157-10mg-vial/,1082,False,True,True,True,"BPC-157 10 mL Vial The Science, Simplified: BPC-157 is a synthetic gastric pentadecapeptid"
peptides,BPC-157 20mg Vial,bpc-157-20mg,https://palmbeach-vitality.store/product/bpc-157-20mg/,1082,False,True,True,True,"BPC-157 20 mL Vial The Science, Simplified: BPC-157 is a synthetic gastric pentadecapeptid"
peptides,CJC Ipamorelin Vial,cjc-ipamorelin-vial,https://palmbeach-vitality.store/product/cjc-ipamorelin-vial/,0,True,True,False,False,
peptides,CJC Vial,cjc-vial,https://palmbeach-vitality.store/product/cjc-vial/,0,True,True,False,False,
peptides,Cargrilinitide Vial,cargrilinitide-vial,https://palmbeach-vitality.store/product/cargrilinitide-vial/,0,True,True,False,False,
peptides,GHK-cu Vial,ghk-cu-vial,https://palmbeach-vitality.store/product/ghk-cu-vial/,0,True,True,False,False,
peptides,GLOW Vial,glow-vial,https://palmbeach-vitality.store/product/glow-vial/,0,True,True,False,False,
peptides,KLOW Vial,klow-vial,https://palmbeach-vitality.store/product/klow-vial/,0,True,True,False,False,
peptides,MOTS-C Vial,mots-c-vial,https://palmbeach-vitality.store/product/mots-c-vial/,0,True,True,False,False,
peptides,Melonotan Vial,melonotan,https://palmbeach-vitality.store/product/melonotan/,1188,False,True,True,True,"Melanotan II 10 mL Vial The Science, Simplified: Melanotan II is a synthetic cyclic heptap"
peptides,NAD+ 1000mg Vial,nad-1000mg,https://palmbeach-vitality.store/product/nad-1000mg/,1049,False,True,True,True,"NAD+ 10 mL Vial 500mg The Science, Simplified: NAD+ (nicotinamide adenine dinucleotide, ox"
peptides,NAD+ 500mg Vial,nad-500mg,https://palmbeach-vitality.store/product/nad-500mg/,1048,False,True,True,True,"NAD+ 10 mL Vial 500mg The Science, Simplified: NAD+ (nicotinamide adenine dinucleotide, ox"
peptides,PT-141 Vial,pt-141-vial,https://palmbeach-vitality.store/product/pt-141-vial/,971,False,True,True,True,"The Science, Simplified: PT-141 is a synthetic cyclic heptapeptide analog of α-melanocyte-"
peptides,SS-31 Vial,ss-31-vial,https://palmbeach-vitality.store/product/ss-31-vial/,0,True,True,False,False,
peptides,Selank Vial,selank-vial,https://palmbeach-vitality.store/product/selank-vial/,1339,False,True,True,True,"Selank 10 mL Vial The Science, Simplified: Selank is a synthetic heptapeptide analog of th"
peptides,Semax Vial,semax-vial,https://palmbeach-vitality.store/product/semax-vial/,0,True,True,False,False,
peptides,Sermorelin Vial,sermorelin-vial,https://palmbeach-vitality.store/product/sermorelin-vial/,1427,False,True,True,True,"Sermorelin 10 mL Vial The Science, Simplified: Sermorelin is a synthetic 29-amino acid pep"
peptides,TA-1 Vial,ta-1,https://palmbeach-vitality.store/product/ta-1/,1284,False,True,True,True,"TA-1 10 mL Vial The Science, Simplified: TA-1 (Thymosin Alpha-1) is a synthetic 28-amino a"
peptides,TB-500 Vial,tb-500-vial,https://palmbeach-vitality.store/product/tb-500-vial/,0,True,True,False,False,
peptides,Tesamorelin Vial,tesamorelin-vial,https://palmbeach-vitality.store/product/tesamorelin-vial/,0,True,True,False,False,
peptides,Wolverine Vial,wolverine-vial,https://palmbeach-vitality.store/product/wolverine-vial/,1422,False,True,True,True,"BPC-157 / TB-500 (Wolverine) 10 mL Vial The Science, Simplified: This is a dual-peptide re"
