product_slug,canonical_url,shopify_style_url_use_this_or_canonical,status
kpv-pen,https://palmbeach-vitality.store/product/kpv-pen/,https://palmbeach-vitality.store/products/kpv-pen,use-canonical
melonotan,https://palmbeach-vitality.store/product/melonotan/,https://palmbeach-vitality.store/products/melonotan,use-canonical
mots-c-pen,https://palmbeach-vitality.store/product/mots-c-pen/,https://palmbeach-vitality.store/products/mots-c-pen,use-canonical
mots-c-vial,https://palmbeach-vitality.store/product/mots-c-vial/,https://palmbeach-vitality.store/products/mots-c-vial,use-canonical
nad-1000mg,https://palmbeach-vitality.store/product/nad-1000mg/,https://palmbeach-vitality.store/products/nad-1000mg,use-canonical
nad-500mg,https://palmbeach-vitality.store/product/nad-500mg/,https://palmbeach-vitality.store/products/nad-500mg,use-canonical
nad-pen-1000mg,https://palmbeach-vitality.store/product/nad-pen-1000mg/,https://palmbeach-vitality.store/products/nad-pen-1000mg,use-canonical
nad-pen-500mg,https://palmbeach-vitality.store/product/nad-pen-500mg/,https://palmbeach-vitality.store/products/nad-pen-500mg,use-canonical
pt-141-pen,https://palmbeach-vitality.store/product/pt-141-pen/,https://palmbeach-vitality.store/products/pt-141-pen,use-canonical
pt-141-vial,https://palmbeach-vitality.store/product/pt-141-vial/,https://palmbeach-vitality.store/products/pt-141-vial,use-canonical
retatrutide-100mg,https://palmbeach-vitality.store/product/retatrutide-100mg/,https://palmbeach-vitality.store/products/retatrutide-100mg,use-canonical
retatrutide-200mg,https://palmbeach-vitality.store/product/retatrutide-200mg/,https://palmbeach-vitality.store/products/retatrutide-200mg,use-canonical
retatrutide-60mg,https://palmbeach-vitality.store/product/retatrutide-60mg/,https://palmbeach-vitality.store/products/retatrutide-60mg,use-canonical
retatrutride-16mg-pen,https://palmbeach-vitality.store/product/retatrutride-16mg-pen/,https://palmbeach-vitality.store/products/retatrutride-16mg-pen,use-canonical
retatrutride-24mg-pen,https://palmbeach-vitality.store/product/retatrutride-24mg-pen/,https://palmbeach-vitality.store/products/retatrutride-24mg-pen,use-canonical
retatrutride-32mg-pen,https://palmbeach-vitality.store/product/retatrutride-32mg-pen/,https://palmbeach-vitality.store/products/retatrutride-32mg-pen,use-canonical
retatrutride-40mg-pen,https://palmbeach-vitality.store/product/retatrutride-40mg-pen/,https://palmbeach-vitality.store/products/retatrutride-40mg-pen,use-canonical
retatrutride-8mg-pen,https://palmbeach-vitality.store/product/retatrutride-8mg-pen/,https://palmbeach-vitality.store/products/retatrutride-8mg-pen,use-canonical
selank-pen,https://palmbeach-vitality.store/product/selank-pen/,https://palmbeach-vitality.store/products/selank-pen,use-canonical
selank-vial,https://palmbeach-vitality.store/product/selank-vial/,https://palmbeach-vitality.store/products/selank-vial,use-canonical
semaglutide-1-5mg-pen,https://palmbeach-vitality.store/product/semaglutide-1-5mg-pen/,https://palmbeach-vitality.store/products/semaglutide-1-5mg-pen,use-canonical
semaglutide-10mg-pen,https://palmbeach-vitality.store/product/semaglutide-10mg-pen/,https://palmbeach-vitality.store/products/semaglutide-10mg-pen,use-canonical
semaglutide-15mg-pen,https://palmbeach-vitality.store/product/semaglutide-15mg-pen/,https://palmbeach-vitality.store/products/semaglutide-15mg-pen,use-canonical
semaglutide-25mg,https://palmbeach-vitality.store/product/semaglutide-25mg/,https://palmbeach-vitality.store/products/semaglutide-25mg,use-canonical
semaglutide-3-5mg-pen,https://palmbeach-vitality.store/product/semaglutide-3-5mg-pen/,https://palmbeach-vitality.store/products/semaglutide-3-5mg-pen,use-canonical
semaglutide-5-5mg-pen,https://palmbeach-vitality.store/product/semaglutide-5-5mg-pen/,https://palmbeach-vitality.store/products/semaglutide-5-5mg-pen,use-canonical
semaglutide-50mg,https://palmbeach-vitality.store/product/semaglutide-50mg/,https://palmbeach-vitality.store/products/semaglutide-50mg,use-canonical
semaglutide-7-5mg-pen,https://palmbeach-vitality.store/product/semaglutide-7-5mg-pen/,https://palmbeach-vitality.store/products/semaglutide-7-5mg-pen,use-canonical
semax-pen,https://palmbeach-vitality.store/product/semax-pen/,https://palmbeach-vitality.store/products/semax-pen,use-canonical
semax-vial,https://palmbeach-vitality.store/product/semax-vial/,https://palmbeach-vitality.store/products/semax-vial,use-canonical
sermorelin-pen,https://palmbeach-vitality.store/product/sermorelin-pen/,https://palmbeach-vitality.store/products/sermorelin-pen,use-canonical
sermorelin-vial,https://palmbeach-vitality.store/product/sermorelin-vial/,https://palmbeach-vitality.store/products/sermorelin-vial,use-canonical
ss-31-pen,https://palmbeach-vitality.store/product/ss-31-pen/,https://palmbeach-vitality.store/products/ss-31-pen,use-canonical
ss-31-vial,https://palmbeach-vitality.store/product/ss-31-vial/,https://palmbeach-vitality.store/products/ss-31-vial,use-canonical
ta-1,https://palmbeach-vitality.store/product/ta-1/,https://palmbeach-vitality.store/products/ta-1,use-canonical
ta-1-2,https://palmbeach-vitality.store/product/ta-1-2/,https://palmbeach-vitality.store/products/ta-1-2,use-canonical
tb-500-vial,https://palmbeach-vitality.store/product/tb-500-vial/,https://palmbeach-vitality.store/products/tb-500-vial,use-canonical
tesamorelin-10mg-pen,https://palmbeach-vitality.store/product/tesamorelin-10mg-pen/,https://palmbeach-vitality.store/products/tesamorelin-10mg-pen,use-canonical
tesamorelin-30mg-pen,https://palmbeach-vitality.store/product/tesamorelin-30mg-pen/,https://palmbeach-vitality.store/products/tesamorelin-30mg-pen,use-canonical
tesamorelin-ipamorelin-pen,https://palmbeach-vitality.store/product/tesamorelin-ipamorelin-pen/,https://palmbeach-vitality.store/products/tesamorelin-ipamorelin-pen,use-canonical
tesamorelin-vial,https://palmbeach-vitality.store/product/tesamorelin-vial/,https://palmbeach-vitality.store/products/tesamorelin-vial,use-canonical
tirzepatide-100mg,https://palmbeach-vitality.store/product/tirzepatide-100mg/,https://palmbeach-vitality.store/products/tirzepatide-100mg,use-canonical
tirzepatide-10mg-pen,https://palmbeach-vitality.store/product/tirzepatide-10mg-pen/,https://palmbeach-vitality.store/products/tirzepatide-10mg-pen,use-canonical
tirzepatide-200mg,https://palmbeach-vitality.store/product/tirzepatide-200mg/,https://palmbeach-vitality.store/products/tirzepatide-200mg,use-canonical
tirzepatide-20mg-pen,https://palmbeach-vitality.store/product/tirzepatide-20mg-pen/,https://palmbeach-vitality.store/products/tirzepatide-20mg-pen,use-canonical
tirzepatide-30mg-pen,https://palmbeach-vitality.store/product/tirzepatide-30mg-pen/,https://palmbeach-vitality.store/products/tirzepatide-30mg-pen,use-canonical
tirzepatide-40mg-pen,https://palmbeach-vitality.store/product/tirzepatide-40mg-pen/,https://palmbeach-vitality.store/products/tirzepatide-40mg-pen,use-canonical
tirzepatide-50mg-pen,https://palmbeach-vitality.store/product/tirzepatide-50mg-pen/,https://palmbeach-vitality.store/products/tirzepatide-50mg-pen,use-canonical
tirzepatide-60mg-pen,https://palmbeach-vitality.store/product/tirzepatide-60mg-pen/,https://palmbeach-vitality.store/products/tirzepatide-60mg-pen,use-canonical
wolverine-pen,https://palmbeach-vitality.store/product/wolverine-pen/,https://palmbeach-vitality.store/products/wolverine-pen,use-canonical
wolverine-vial,https://palmbeach-vitality.store/product/wolverine-vial/,https://palmbeach-vitality.store/products/wolverine-vial,use-canonical
