creation_id,rank,scene_id,category,scene_brief,quality_var_count,quality_suffix,aspect_ratio,duration_seconds,resolution,model_still,model_video,video_prompt,status,times_used,last_used_at
PBVita-Reel-011,11,386,Signature Camera Moves & Dynamic Angles,"Camera focused: lateral motion-control track keeping product perfectly centered. Subject is pre-filled research pen, soft diffused overhead, with light caustics refracting across the surface.",12,"ultra detailed, extremely detailed, razor sharp focus, tack sharp, ultra sharp, 8k resolution, volumetric lighting, studio lighting, elegant framing, realistic textures, editorial photography style, professional photography",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Camera focused: lateral motion-control track keeping product perfectly centered. Subject is pre-filled research pen, soft diffused overhead, with light caustics refracting across the surface.. Quality: ultra detailed, extremely detailed, razor sharp focus, tack sharp, ultra sharp, 8k resolution, volumetric lighting, studio lighting, elegant framing, realistic textures, editorial photography style, professional photography. creation motif 011/500 · scene 386. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-012,12,471,"Text, Kinetic & Overlay-Friendly Scenes","Overlay-optimized composition: locked hero frame with generous margin on all sides for safe text overlay. Subject precision research pen, soft diffused overhead.",12,"ultra detailed, extremely detailed, razor sharp focus, tack sharp, cinematic lighting, volumetric lighting, rim lighting, rich contrast, perfect composition, elegant framing, clean and crisp, intricate textures",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Overlay-optimized composition: locked hero frame with generous margin on all sides for safe text overlay. Subject precision research pen, soft diffused overhead.. Quality: ultra detailed, extremely detailed, razor sharp focus, tack sharp, cinematic lighting, volumetric lighting, rim lighting, rich contrast, perfect composition, elegant framing, clean and crisp, intricate textures. creation motif 012/500 · scene 471. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-013,13,266,"Abstract, Artistic & Cinematic Science","Soft particle field slowly forming the product shape, featuring pre-filled research pen, soft rim light from behind, slow 360° orbit at eye level.",12,"ultra detailed, extremely detailed, razor sharp focus, crystal clear, photorealistic, volumetric lighting, soft diffused lighting, perfect exposure, perfect composition, elegant framing, ambient occlusion, professional photography",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Soft particle field slowly forming the product shape, featuring pre-filled research pen, soft rim light from behind, slow 360° orbit at eye level.. Quality: ultra detailed, extremely detailed, razor sharp focus, crystal clear, photorealistic, volumetric lighting, soft diffused lighting, perfect exposure, perfect composition, elegant framing, ambient occlusion, professional photography. creation motif 013/500 · scene 266. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-014,14,599,Extreme Detail & Texture Studies,"Texture / detail study: light traveling along the curved glass form in continuous motion, soft bounce from below, vertical rise from base to top.",12,"ultra detailed, extremely detailed, razor sharp focus, ultra sharp, photorealistic, ultra realistic, studio lighting, rim lighting, high dynamic range, intricate textures, global illumination, ambient occlusion",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Texture / detail study: light traveling along the curved glass form in continuous motion, soft bounce from below, vertical rise from base to top.. Quality: ultra detailed, extremely detailed, razor sharp focus, ultra sharp, photorealistic, ultra realistic, studio lighting, rim lighting, high dynamic range, intricate textures, global illumination, ambient occlusion. creation motif 014/500 · scene 599. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-015,15,526,"Hybrid, Transition & Special Shots","Special / hybrid shot: product dissolving into soft light particles that reform as molecular model. Centered on pre-filled research pen, volumetric god rays through haze, fast resolve into locked hero frame.",12,"ultra detailed, extremely detailed, razor sharp focus, 8k resolution, hyperrealistic, cinematic lighting, studio lighting, rim lighting, HDR, perfect exposure, perfect composition, clean and crisp",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Special / hybrid shot: product dissolving into soft light particles that reform as molecular model. Centered on pre-filled research pen, volumetric god rays through haze, fast resolve into locked hero frame.. Quality: ultra detailed, extremely detailed, razor sharp focus, 8k resolution, hyperrealistic, cinematic lighting, studio lighting, rim lighting, HDR, perfect exposure, perfect composition, clean and crisp. creation motif 015/500 · scene 526. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-016,16,111,Laboratory & Scientific Environments,"Pre-filled research pen through the glass of a fume hood, volumetric god rays through haze, with abstract geometric light patterns, fast resolve into locked hero frame.",12,"ultra detailed, extremely detailed, razor sharp focus, photorealistic, dramatic lighting, HDR, rich contrast, polished look, refined details, global illumination, soft shadows, professional photography",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Pre-filled research pen through the glass of a fume hood, volumetric god rays through haze, with abstract geometric light patterns, fast resolve into locked hero frame.. Quality: ultra detailed, extremely detailed, razor sharp focus, photorealistic, dramatic lighting, HDR, rich contrast, polished look, refined details, global illumination, soft shadows, professional photography. creation motif 016/500 · scene 111. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-017,17,501,Lifestyle & Context (Research-Forward),"Context still life: premium modern surface (bathroom or grooming style) with product as still life. Featuring precision research pen, volumetric god rays through haze, fast resolve into locked hero frame.",12,"ultra detailed, extremely detailed, razor sharp focus, ultra realistic, high dynamic range, rich contrast, intricate textures, detailed surface texture, global illumination, ambient occlusion, high-end commercial look, editorial photography style",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Context still life: premium modern surface (bathroom or grooming style) with product as still life. Featuring precision research pen, volumetric god rays through haze, fast resolve into locked hero frame.. Quality: ultra detailed, extremely detailed, razor sharp focus, ultra realistic, high dynamic range, rich contrast, intricate textures, detailed surface texture, global illumination, ambient occlusion, high-end commercial look, editorial photography style. creation motif 017/500 · scene 501. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-018,18,419,Lighting & Mood Variations,"Mood lighting study: low-key night mode with selective highlights only on the product. Product is single research pen standing upright, captured with extreme high angle looking straight down.",12,"ultra detailed, extremely detailed, tack sharp, crystal clear, ultra sharp, 8k resolution, studio lighting, rim lighting, high dynamic range, shallow depth of field, intricate textures, detailed surface texture",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Mood lighting study: low-key night mode with selective highlights only on the product. Product is single research pen standing upright, captured with extreme high angle looking straight down.. Quality: ultra detailed, extremely detailed, tack sharp, crystal clear, ultra sharp, 8k resolution, studio lighting, rim lighting, high dynamic range, shallow depth of field, intricate textures, detailed surface texture. creation motif 018/500 · scene 419. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-019,19,151,Molecular & Chemical Structure Visuals,"Abstract particle-based structure of a peptide chain, slowly rotating in dark space, volumetric god rays through haze, with abstract geometric light patterns, fast resolve into locked hero frame.",12,"ultra detailed, extremely detailed, tack sharp, crystal clear, cinematic lighting, volumetric lighting, perfect exposure, polished look, global illumination, ambient occlusion, soft shadows, professional photography",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Abstract particle-based structure of a peptide chain, slowly rotating in dark space, volumetric god rays through haze, with abstract geometric light patterns, fast resolve into locked hero frame.. Quality: ultra detailed, extremely detailed, tack sharp, crystal clear, cinematic lighting, volumetric lighting, perfect exposure, polished look, global illumination, ambient occlusion, soft shadows, professional photography. creation motif 019/500 · scene 151. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-020,20,630,Multi-Product & Collection Arrangements,"Collection arrangement: family of products in a single elegant still-life with negative space, warm under-light glow, with almost no shadow, pure beauty light, slow pull-out revealing environment.",12,"ultra detailed, extremely detailed, tack sharp, ultra sharp, ultra realistic, rim lighting, high dynamic range, perfect composition, clean and crisp, refined details, global illumination, high-end commercial look",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Collection arrangement: family of products in a single elegant still-life with negative space, warm under-light glow, with almost no shadow, pure beauty light, slow pull-out revealing environment.. Quality: ultra detailed, extremely detailed, tack sharp, ultra sharp, ultra realistic, rim lighting, high dynamic range, perfect composition, clean and crisp, refined details, global illumination, high-end commercial look. creation motif 020/500 · scene 630. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-021,21,8,Product Hero & Macro,"Dual research pens side by side in pure clinical emptiness, low-key selective highlight only, slow elegant movement.",12,"ultra detailed, extremely detailed, tack sharp, 8k resolution, dramatic lighting, HDR, elegant framing, polished look, clean and crisp, realistic textures, medium format look, professional photography",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Dual research pens side by side in pure clinical emptiness, low-key selective highlight only, slow elegant movement.. Quality: ultra detailed, extremely detailed, tack sharp, 8k resolution, dramatic lighting, HDR, elegant framing, polished look, clean and crisp, realistic textures, medium format look, professional photography. creation motif 021/500 · scene 008. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-022,22,261,"Production, Process & Manufacturing","Stylized research process: product being sealed into clean protective packaging, soft diffused overhead, with light caustics refracting across the surface, subtle handheld micro-movement.",12,"ultra detailed, extremely detailed, tack sharp, hyperrealistic, cinematic lighting, soft diffused lighting, rich contrast, perfect exposure, creamy bokeh, high fidelity, ambient occlusion, soft shadows",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Stylized research process: product being sealed into clean protective packaging, soft diffused overhead, with light caustics refracting across the surface, subtle handheld micro-movement.. Quality: ultra detailed, extremely detailed, tack sharp, hyperrealistic, cinematic lighting, soft diffused lighting, rich contrast, perfect exposure, creamy bokeh, high fidelity, ambient occlusion, soft shadows. creation motif 022/500 · scene 261. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-023,23,364,Signature Camera Moves & Dynamic Angles,"Camera focused: spiral orbit combined with continuous slow push-in. Subject is single research pen standing upright, cool overhead fluorescent lab feel, with soft shadow only.",12,"ultra detailed, extremely detailed, tack sharp, dramatic lighting, soft diffused lighting, rim lighting, perfect exposure, clean and crisp, high fidelity, ambient occlusion, DSLR sharpness, professional photography",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Camera focused: spiral orbit combined with continuous slow push-in. Subject is single research pen standing upright, cool overhead fluorescent lab feel, with soft shadow only.. Quality: ultra detailed, extremely detailed, tack sharp, dramatic lighting, soft diffused lighting, rim lighting, perfect exposure, clean and crisp, high fidelity, ambient occlusion, DSLR sharpness, professional photography. creation motif 023/500 · scene 364. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-024,24,437,"Text, Kinetic & Overlay-Friendly Scenes","Overlay-optimized composition: product locked on the right third, left two-thirds open for bold typography. Subject clear glass research vial, clean high-key beauty lighting.",12,"ultra detailed, extremely detailed, crystal clear, ultra sharp, photorealistic, HDR, perfect exposure, elegant framing, premium aesthetic, polished look, clean and crisp, DSLR sharpness",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Overlay-optimized composition: product locked on the right third, left two-thirds open for bold typography. Subject clear glass research vial, clean high-key beauty lighting.. Quality: ultra detailed, extremely detailed, crystal clear, ultra sharp, photorealistic, HDR, perfect exposure, elegant framing, premium aesthetic, polished look, clean and crisp, DSLR sharpness. creation motif 024/500 · scene 437. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-025,25,280,"Abstract, Artistic & Cinematic Science","Shallow depth of field with only the tip in critical focus, featuring sterile research vial, warm under-light glow, slow pull-out revealing environment.",12,"ultra detailed, extremely detailed, crystal clear, 8k resolution, ultra realistic, cinematic lighting, soft diffused lighting, perfect composition, elegant framing, premium aesthetic, global illumination, DSLR sharpness",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Shallow depth of field with only the tip in critical focus, featuring sterile research vial, warm under-light glow, slow pull-out revealing environment.. Quality: ultra detailed, extremely detailed, crystal clear, 8k resolution, ultra realistic, cinematic lighting, soft diffused lighting, perfect composition, elegant framing, premium aesthetic, global illumination, DSLR sharpness. creation motif 025/500 · scene 280. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-026,26,569,Extreme Detail & Texture Studies,"Texture / detail study: edge light catching every microscopic dust-free surface, soft bounce from below, vertical rise from base to top.",12,"ultra detailed, extremely detailed, crystal clear, photorealistic, studio lighting, high dynamic range, rich contrast, shallow depth of field, polished look, detailed surface texture, soft shadows, high-end commercial look",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Texture / detail study: edge light catching every microscopic dust-free surface, soft bounce from below, vertical rise from base to top.. Quality: ultra detailed, extremely detailed, crystal clear, photorealistic, studio lighting, high dynamic range, rich contrast, shallow depth of field, polished look, detailed surface texture, soft shadows, high-end commercial look. creation motif 026/500 · scene 569. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
