compound_id,compound_name,aliases,science_what,science_focus,science_pathways,tag2,tag3,tag4,tag5,store_url,status
P-KLOW-001,KLOW,"klow blend,klow peptide","a research blend neighboring GLOW, built for matrix and tone-pathway catalogs",copper-peptide plus complementary sequences in laboratory skin-science models,"how blend composition is described for research documentation, not results",PeptideResearch,CellularScience,CopperPeptide,ResearchPeptides,www.palmbeach-vitality.store,Active
P-KPV-001,KPV,"kpv peptide,lys-pro-val",a short anti-inflammatory-pathway tripeptide used in barrier-research models,epithelial signaling and immune-modulating cascade mapping in laboratory systems,how a three-residue sequence is studied at the cell-surface level,PeptideResearch,CellularScience,TissueRepair,ResearchPeptides,www.palmbeach-vitality.store,Active
P-MT2-001,Melanotan 2,"mt2,melanotan2,melanotan-2,mt-2",a cyclic melanocortin research peptide used in pigmentation-pathway studies,MC1R/MC4R-related signaling in controlled laboratory melanocortin models,how a cyclic analogue is cataloged for receptor-level research,PeptideResearch,CellularScience,ReceptorScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-MOTS-001,MOTS-C,"motsc,mots-c,mots c",a mitochondrial-encoded research peptide used in metabolic-stress models,cellular energy sensing and mitochondrial peptide signaling in laboratory work,how a 16-residue mitochondrial peptide is mapped in metabolic research,MitochondrialScience,CellularEnergy,PeptideResearch,ResearchPeptides,www.palmbeach-vitality.store,Active
P-NAD-001,NAD+,"nad,nad plus,nadplus,nicotinamide",a core redox cofactor cataloged for cellular-energy and sirtuin-pathway research,electron-transfer chemistry and NAD+-dependent enzyme work in laboratory models,how dinucleotide structure supports metabolic mapping at the molecular level,CellularEnergy,MetabolicResearch,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-PT141-001,PT-141,"pt141,pt 141,bremelanotide",a cyclic melanocortin research peptide used in receptor-signaling studies,central melanocortin pathways mapped in laboratory neuroscience models,how cyclic peptide design is documented for receptor-engagement research,PeptideResearch,ReceptorScience,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-RETA-001,Retatrutide,"reta,retatrutide,ly3437943",a multi-agonist research peptide used in metabolic-receptor laboratory work,"GLP-1, GIP, and glucagon receptor signaling studied as one triple-agonist model",how a large peptide analogue is cataloged for multi-receptor mapping,MetabolicResearch,PeptideScience,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-SEL-001,Selank,selank peptide,a tuftsin-derived research peptide used in anxiety-axis and immune-signal models,neuropeptide signaling and GABA-related laboratory pathway work,how a short analogue is described for cognitive-research catalogs,NeuropeptideScience,PeptideResearch,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-SEMA-001,Semaglutide,"sema,ozempic research,semaglutide",a long-acting GLP-1 receptor agonist peptide used in metabolic laboratory models,incretin signaling and glucose-pathway mapping in controlled research systems,how lipidated peptide design is cataloged for receptor-duration studies,MetabolicResearch,PeptideScience,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-SEMAX-001,SEMAX,semax peptide,a synthetic ACTH-fragment analogue used in cognitive and neuroprotective research catalogs,BDNF-related signaling and neuropeptide laboratory models,how a modified fragment is documented for neural-pathway mapping,NeuropeptideScience,PeptideResearch,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-SERM-001,Sermorelin,"sermorelin acetate,ghrh 1-29",a GHRH 1-29 research peptide used in growth-axis laboratory studies,pituitary signaling and growth-hormone–release pathway mapping,how a physiologic-length analogue is cataloged for endocrine research,EndocrineLab,PeptideResearch,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-SS31-001,SS-31,"ss31,elamipretide,ss-31",a mitochondria-targeted research tetrapeptide used in bioenergetic models,cardiolipin-associated mitochondrial signaling in laboratory systems,how a small peptide is mapped to inner-membrane research questions,MitochondrialScience,CellularEnergy,PeptideResearch,ResearchPeptides,www.palmbeach-vitality.store,Active
P-TA1-001,TA-1,"ta1,thymosin alpha,thymosin a1",an immune-research peptide used in T-cell signaling laboratory models,thymic peptide pathways and immune-education research catalogs,how a 28-residue sequence is documented for immunology studies,ImmuneResearch,PeptideScience,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-TB500-001,TB-500,"tb500,tb 500,thymosin beta4,tb-500",an actin-regulating research peptide used in cell-migration laboratory models,cytoskeletal dynamics and tissue-architecture signaling at the molecular level,how a thymosin-beta fragment is cataloged for structural-cell research,TissueRepair,PeptideResearch,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-TESA-001,Tesamorelin,"tesamorelin,tesa",a stabilized GHRH analogue used in visceral-fat and endocrine laboratory research,growth-axis signaling and metabolic-compartment mapping in research models,how a long analogue is documented for pituitary-pathway catalogs,EndocrineLab,MetabolicResearch,PeptideResearch,ResearchPeptides,www.palmbeach-vitality.store,Active
P-TESAIPA-001,Tesamorelin/Ipamorelin,"tesa ipa,tesamorelin ipamorelin",a stacked GHRH analogue plus ghrelin-mimetic pair for endocrine research catalogs,combined growth-axis signaling studied as one laboratory complex,how two complementary peptides are listed together for pathway comparison,EndocrineLab,PeptideResearch,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-TIRZ-001,Tirzepatide,"tirz,mounjaro research,tirzepatide",a dual GIP/GLP-1 receptor agonist peptide used in metabolic laboratory models,incretin dual-agonist signaling and energy-pathway mapping in research systems,how a large dual-agonist analogue is cataloged for receptor-level study,MetabolicResearch,PeptideScience,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
