compound_id,source_sheet,compound_name,category,product_form,short_tagline,key_benefit_theme,mechanism_1_liner,spotlight_angle,canonical_url,hashtags_core,compliance_notes,disclaimer_short,status,rotation_order,last_spotlight_date,cycle_number,figma_template_type,ig_caption_draft,fb_caption_draft,tiktok_script_draft,buffer_ig_post_id,buffer_fb_post_id,buffer_tiktok_post_id,notes,feed_image_url,story_image_url,reel_still_url,reel_video_url,buffer_ig_reel_id,buffer_fb_reel_id,video_url,creatomate_render_id,creatomate_snapshot_url,last_reel_at
V-GHK-001,1-compounds-vials,GHK-Cu,Skin / Cosmetic,Vial,GHK-Cu copper peptide vial,Skin and tissue research,GHK copper peptide,Wellness Angle,https://www.palmbeach-vitality.store/products/ghk-cu,#GHKCu #CopperPeptide #PeptideVials #PalmBeachVitality,Cosmetic research framing,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,12,,1,3-Bullet Benefits,,,,,,10mL Vial 50mg,,,,,,,,,,,
P-GHK-001,1-compounds-pens,GHK-Cu,Skin / Cosmetic,Pen,GHK-Cu copper peptide pen,Skin and tissue research,GHK copper peptide,Wellness Angle,https://www.palmbeach-vitality.store/products/ghk-cu-pen,#GHKCu #PeptidePen #CopperPeptide #PalmBeachVitality,Cosmetic research framing,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,13,,1,3-Bullet Benefits,,,,,,50mg 3mL Pen,,,,,,,,,,,
V-GLO-001,1-compounds-vials,GLOW,Recovery / Cosmetic Blend,Vial,GLOW three-compound blend vial,BPC-157 + TB-500 + GHK-Cu blend,Recovery and skin research blend,Spotlight Hero,https://www.palmbeach-vitality.store/products/glow,#GLOW #PeptideBlend #RecoveryResearch #PalmBeachVitality,Blend spotlight — one post only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,14,,1,Hero Spotlight,,,,,,10/10/50mg Vial,,,,,,,,,,,
P-GLO-001,1-compounds-pens,GLOW,Recovery / Cosmetic Blend,Pen,GLOW three-compound blend pen,BPC-157 + TB-500 + GHK-Cu blend,Recovery and skin research blend,Spotlight Hero,https://www.palmbeach-vitality.store/products/glow-pen,#GLOW #PeptidePen #PeptideBlend #PalmBeachVitality,Blend spotlight — one post only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,15,,1,Hero Spotlight,,,,,,10/10/50mg 3mL Pen,,,,,,,,,,,
V-KLO-001,1-compounds-vials,KLOW,Hormonal / Recovery Blend,Vial,Four-compound recovery blend vial,KPV + BPC-157 + TB-500 + GHK-Cu,KPV/BPC-157/TB-500/GHK blend,Mechanism,https://www.palmbeach-vitality.store/products/klow-kpv-bpc-157-tb-500-ghk,#KLOW #PeptideBlend #RecoveryResearch #PalmBeachVitality,Blend spotlight — do not split into separate posts,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,16,,1,Mechanism Carousel,,,,,,10mL Vial 10/10/10/50mg,,,,,,,,,,,
P-KLO-001,1-compounds-pens,KLOW,Hormonal / Recovery Blend,Pen,KLOW four-compound recovery blend pen,Convenient pre-filled research pen,KPV/BPC-157/TB-500/GHK blend,Spotlight Hero,https://www.palmbeach-vitality.store/products/klow-pen,#KLOW #PeptidePen #RecoveryResearch #PalmBeachVitality,Blend spotlight — one post only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,17,,1,Hero Spotlight,,,,,,3mL Pen 10/10/10/50mg,,,,,,,,,,,
P-KPV-001,1-compounds-pens,KPV,Immune / Anti-Inflammatory,Pen,KPV anti-inflammatory research pen,Immune and gut research,KPV tripeptide,FAQ,https://www.palmbeach-vitality.store/products/kpv,#KPV #PeptidePen #ImmuneResearch #PalmBeachVitality,Also in KLOW blend — separate pen spotlight,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,18,,1,FAQ Slide,,,,,,10mg Pen,,,,,,,,,,,
V-MT2-001,1-compounds-vials,Melanotan 2,Specialty / Cosmetic,Vial,Melanotan 2 research peptide vial,Melanin pathway research,Melanocortin receptor agonist,Wellness Angle,https://www.palmbeach-vitality.store/products/melonotan,#Melanotan2 #PeptideResearch #PalmBeachVitality,Site slug uses melonotan spelling,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,19,,1,TikTok Reel Frame,,,,,,10mg/10mL Vial,,,,,,,,,,,
V-MOT-001,1-compounds-vials,MOTS-C,Longevity / Metabolic,Vial,Mitochondrial peptide in vial format,Cellular energy research support,Mitochondrial-derived peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/mots-c-10mg-5ml-vial,#MOTSC #LongevityResearch #PeptideVials #PalmBeachVitality,No lifespan extension claims,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,20,,1,3-Bullet Benefits,,,,,,Also maps: /products/mots-c,,,,,,,,,,,
P-MOT-001,1-compounds-pens,MOTS-C,Longevity / Metabolic,Pen,MOTS-C mitochondrial peptide pen,Cellular energy research,Mitochondrial-derived peptide,Mechanism,https://www.palmbeach-vitality.store/products/mots-c,#MOTSC #PeptidePen #LongevityResearch #PalmBeachVitality,Verify this is the pen listing,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,21,,1,Mechanism Carousel,,,,,,20mg 3mL Pen — confirm URL on site,,,,,,,,,,,
V-NAD-001,1-compounds-vials,NAD+,Longevity / Cellular,Vial,High-concentration NAD+ research vial,Cellular energy and longevity research,Nicotinamide adenine dinucleotide,Wellness Angle,https://www.palmbeach-vitality.store/products/nad-1,#NAD #LongevityResearch #PeptideVials #PalmBeachVitality,No medical treatment claims,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,22,,1,Hero Spotlight,,,,,,10mL Vial 1000mg,,,,,,,,,,,
P-NAD-001,1-compounds-pens,NAD+,Longevity / Cellular,Pen,NAD+ pre-filled research pen,Cellular energy research,Nicotinamide adenine dinucleotide,Wellness Angle,https://www.palmbeach-vitality.store/products/nad-pen-500mg,#NAD #PeptidePen #LongevityResearch #PalmBeachVitality,Also maps nad-500mg,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,23,,1,3-Bullet Benefits,,,,,,500mg 3mL Pen,,,,,,,,,,,
V-PT1-001,1-compounds-vials,PT-141,Hormonal / Specialty,Vial,PT-141 research peptide vial,Specialty hormonal research,Melanocortin receptor agonist,FAQ,https://www.palmbeach-vitality.store/products/pt-141,#PT141 #PeptideResearch #PalmBeachVitality,Sensitive category — educational tone only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,24,,1,FAQ Slide,,,,,,10mL Vial 20mg,,,,,,,,,,,
P-PT1-001,1-compounds-pens,PT-141,Hormonal / Specialty,Pen,PT-141 pre-filled research pen,Specialty hormonal research,Melanocortin receptor agonist,FAQ,https://www.palmbeach-vitality.store/products/pt-141-pen,#PT141 #PeptidePen #PalmBeachVitality,Sensitive category — educational tone only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,25,,1,FAQ Slide,,,,,,10mg 3mL Pen,,,,,,,,,,,
V-RET-001,1-compounds-vials,Retatrutide,GLP-1 / Metabolic,Vial,Retatrutide triple-agonist research vial,Advanced metabolic research,GLP-1/GIP/glucagon receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/retatrutide,#Retatrutide #GLP1 #MetabolicResearch #PalmBeachVitality,All vial sizes map here,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,26,,1,Hero Spotlight,,,,,,Also maps: retatrutide-100mg retatrutide-200mg,,,,,,,,,,,
P-RET-001,1-compounds-pens,Retatrutide Pen Program,GLP-1 / Metabolic,Pen,Multi-tier Retatrutide pen program,Structured triple-agonist research program,GLP-1/GIP/glucagon receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/retatrutride-8mg-pen,#Retatrutide #GLP1 #PeptidePen #PalmBeachVitality,Site uses retatrutride slug typo; 48mg pen not on site yet,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,27,,1,Hero Spotlight,,,,,,8mg through 40mg pens on site,,,,,,,,,,,
V-SEL-001,1-compounds-vials,Selank,Cognitive / Nootropic,Vial,Selank nootropic peptide vial,Cognitive and mood research,Synthetic tuftsin analog,Compare,https://www.palmbeach-vitality.store/products/selank,#Selank #NootropicResearch #PeptideVials #PalmBeachVitality,No anxiety treatment claims,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,28,,1,Mechanism Carousel,,,,,,10mL Vial 10mg,,,,,,,,,,,
P-SEL-001,1-compounds-pens,Selank,Cognitive / Nootropic,Pen,Selank nootropic pre-filled pen,Cognitive and mood research,Synthetic tuftsin analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/selank-pen,#Selank #NootropicResearch #PeptidePen #PalmBeachVitality,No anxiety treatment claims,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,29,,1,Hero Spotlight,,,,,,20mg 3mL Pen,,,,,,,,,,,
V-SEM-001,1-compounds-vials,Semaglutide,GLP-1 / Metabolic,Vial,Semaglutide GLP-1 research vial,Metabolic pathway research,GLP-1 receptor agonist,Compare,https://www.palmbeach-vitality.store/products/semaglutide,#Semaglutide #GLP1 #MetabolicResearch #PalmBeachVitality,All vial sizes map here,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,30,,1,Mechanism Carousel,,,,,,Also maps: semaglutide-50mg,,,,,,,,,,,
P-SEM-001,1-compounds-pens,Semaglutide Pen Program,GLP-1 / Metabolic,Pen,Multi-tier Semaglutide pen program,Structured GLP-1 research program,GLP-1 receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/semaglutide-1-5mg-pen,#Semaglutide #GLP1 #PeptidePen #PalmBeachVitality,All month/dose tiers in ONE spotlight,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,31,,1,Hero Spotlight,,,,,,Month 1-6 pens 1.5mg through 15mg,,,,,,,,,,,
P-SMX-001,1-compounds-pens,SEMAX,Cognitive / Nootropic,Pen,Semax nootropic pre-filled pen,Cognitive performance research,ACTH(4-10) analog,Compare,https://www.palmbeach-vitality.store/products/semax-pen,#Semax #NootropicResearch #PeptidePen #PalmBeachVitality,Pen-only product,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,32,,1,Mechanism Carousel,,,,,,20mg Pen,,,,,,,,,,,
V-SER-001,1-compounds-vials,Sermorelin,Hormonal / GH Secretagogue,Vial,Sermorelin GH research vial,GH secretagogue research,GHRH(1-29) analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/sermorelin,#Sermorelin #PeptideVials #HormonalResearch #PalmBeachVitality,Research use language only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,33,,1,Hero Spotlight,,,,,,10mL Vial 20mg,,,,,,,,,,,
P-SER-001,1-compounds-pens,Sermorelin,Hormonal / GH Secretagogue,Pen,Sermorelin GH research pen,GH secretagogue research,GHRH(1-29) analog,Mechanism,https://www.palmbeach-vitality.store/products/sermorelin-pen,#Sermorelin #PeptidePen #HormonalResearch #PalmBeachVitality,Research use only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,34,,1,Mechanism Carousel,,,,,,10mg 3mL Pen,,,,,,,,,,,
V-SS3-001,1-compounds-vials,SS-31,Longevity / Mitochondrial,Vial,SS-31 mitochondrial peptide vial,Mitochondrial function research,Elamipretide / SS-31 peptide,Mechanism,https://www.palmbeach-vitality.store/products/ss-31,#SS31 #MitochondrialResearch #PeptideVials #PalmBeachVitality,No disease treatment claims,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,35,,1,Mechanism Carousel,,,,,,10mL Vial 10mg,,,,,,,,,,,
P-SS3-001,1-compounds-pens,SS-31,Longevity / Mitochondrial,Pen,SS-31 mitochondrial peptide pen,Mitochondrial function research,Elamipretide / SS-31 peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ss-31-pen,#SS31 #PeptidePen #MitochondrialResearch #PalmBeachVitality,No disease treatment claims,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,36,,1,3-Bullet Benefits,,,,,,50mg Pen,,,,,,,,,,,
V-TA1-001,1-compounds-vials,TA-1,Immune / Thymic,Vial,Thymosin Alpha-1 immune research vial,Immune system research,Thymosin alpha-1 peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ta-1,#TA1 #Thymosin #ImmuneResearch #PalmBeachVitality,No immune disease treatment claims,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,37,,1,3-Bullet Benefits,,,,,,10mg Vial,,,,,,,,,,,
P-TA1-001,1-compounds-pens,TA-1,Immune / Thymic,Pen,Thymosin Alpha-1 immune research pen,Immune system research,Thymosin alpha-1 peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ta-2,#TA1 #PeptidePen #ImmuneResearch #PalmBeachVitality,Pen may be listed as ta-2 on site,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,38,,1,3-Bullet Benefits,,,,,,10mg 3mL Pen — verify ta-2 is pen listing,,,,,,,,,,,
V-TB5-001,1-compounds-vials,TB-500,Recovery / Healing,Vial,TB-500 recovery research vial,Recovery research support,Actin-binding peptide research compound,Trust / Quality,https://www.palmbeach-vitality.store/products/tb-500,#TB500 #RecoveryResearch #PeptideVials #PalmBeachVitality,Avoid injury cure language,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,39,,1,3-Bullet Benefits,,,,,,10mL Vial 10mg,,,,,,,,,,,
V-TES-001,1-compounds-vials,Tesamorelin,Hormonal / GH Secretagogue,Vial,Tesamorelin GH research vial,Growth hormone research,GHRH analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/tesamorelin,#Tesamorelin #PeptideVials #HormonalResearch #PalmBeachVitality,Research use only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,40,,1,Hero Spotlight,,,,,,10mL Vial 30mg,,,,,,,,,,,
P-TES-001,1-compounds-pens,Tesamorelin,Hormonal / GH Secretagogue,Pen,Tesamorelin GH research pen,Growth hormone research,GHRH analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/tesamorelin-30mg-pen,#Tesamorelin #PeptidePen #HormonalResearch #PalmBeachVitality,All pen sizes map here,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,41,,1,Hero Spotlight,,,,,,Also maps tesamorelin-10mg-pen,,,,,,,,,,,
P-TEI-001,1-compounds-pens,Tesamorelin/Ipamorelin,Hormonal / GH Blend,Pen,Dual GH pathway blend pen,Synergistic GH research,Tesamorelin + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/tesamorelin-ipamorelin-pen,#Tesamorelin #Ipamorelin #PeptidePen #PalmBeachVitality,Blend spotlight — one post only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,42,,1,Mechanism Carousel,,,,,,12mg/3mg 3mL Pen,,,,,,,,,,,
V-TIR-001,1-compounds-vials,Tirzepatide,GLP-1 / Metabolic,Vial,Tirzepatide dual incretin research vial,Metabolic research support,GLP-1/GIP dual agonist,Compare,https://www.palmbeach-vitality.store/products/tirzepatide,#Tirzepatide #GLP1 #MetabolicResearch #PalmBeachVitality,All vial sizes map here,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,43,,1,Mechanism Carousel,,,,,,Also maps: tirzepatide-200mg,,,,,,,,,,,
P-TIR-001,1-compounds-pens,Tirzepatide Pen Program,GLP-1 / Metabolic,Pen,Multi-tier Tirzepatide pen program,Structured dual-agonist research program,GLP-1/GIP dual agonist,Compare,https://www.palmbeach-vitality.store/products/tirzepatide-10mg-pen,#Tirzepatide #GLP1 #PeptidePen #PalmBeachVitality,All 10-60mg pen tiers in ONE spotlight,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,44,,1,Mechanism Carousel,,,,,,10mg through 60mg pens,,,,,,,,,,,
V-IPA-001,1-compounds-vials,Ipamorelin,Hormonal / GH Secretagogue,Vial,Selective GH secretagogue in ready-to-use vial format,GH pathway research support,Selective ghrelin receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/cjc-ipamorelin,#Ipamorelin #PeptideVials #ResearchPeptides #PalmBeachVitality,Research use only; no anti-aging cure claims,For research and educational purposes only. Not intended to diagnose or treat any condition.,Paused,45,,1,Hero Spotlight,,,,,,Standalone Ipamorelin vial not found on site — using CJC/Ipamorelin page until live,,,,,,,,,,,
P-TB5-001,1-compounds-pens,TB-500,Recovery / Healing,Pen,TB-500 recovery research pen,Recovery research support,Actin-binding peptide,Wellness Angle,https://www.palmbeach-vitality.store/products/tb-500,#TB500 #PeptidePen #RecoveryResearch #PalmBeachVitality,TB-500 pen page not found — using vial URL until pen page live,For research and educational purposes only. Not intended to diagnose or treat any condition.,Paused,46,,1,3-Bullet Benefits,,,,,,10mg 3mL Pen — no pen product page on site yet,,,,,,,,,,,
V-TEI-001,1-compounds-vials,Tesamorelin/Ipamorelin,Hormonal / GH Blend,Vial,Dual GH pathway blend vial,Synergistic GH research,Tesamorelin + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/cjc-ipamorelin,#Tesamorelin #Ipamorelin #PeptideBlend #PalmBeachVitality,Vial page not found on site — verify URL when live,For research and educational purposes only. Not intended to diagnose or treat any condition.,Paused,47,,1,Mechanism Carousel,,,,,,3mL Vial 12mg/3mg — pen exists at /products/tesamorelin-ipamorelin-pen,,,,,,,,,,,
