lab_item_id,rank,category,scene_setting,environment_bucket,lab_item,material_detail,surface,lighting,camera_move,status,times_used,last_used_at,color_grade,hero_style,compound_name,shot_family,framing
SCN-023,23,kitchen_windowsill_herb_garden,Kitchen windowsill herb garden,kitchen_cafe,"Lifestyle wellness world: Kitchen windowsill herb garden. Editorial wellness frame: A vertical 9:16 composition builds around a small clear research vial and matching carton silhouette staged as quiet product jewelry. Negative space breathes; nothing feels cluttered or prop-dumped. Ground the image on weathered teak decking with blue-hour cool ambient with warm practical pools. Make the still exciting enough that a slow camera move feels like entering a world. This is outdoor/home atmosphere for Palm Beach Vitality — not a cleanroom, not a bench dump, not a sterile lab. Keep the space unoccupied by people or procedure props. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'TA-1' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Kitchen windowsill herb garden. Environment bucket: kitchen cafe. Focal — a small clear research vial and matching carton silhouette staged as quiet product jewelry. Surface weathered teak decking; lighting blue-hour cool ambient with warm practical pools. Negative space breathes; nothing feels cluttered or prop-dumped. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",weathered teak decking,blue-hour cool ambient with warm practical pools,"slow low dolly-in from low medium at low-angle, straight forward path only (straight forward low), then hold",Active,0,,"fresh green outdoor grade, natural and airy",environment-first lifestyle still with quiet product presence,TA-1,dolly_in_low,low approach from low medium at low-angle
SCN-024,24,open_air_pavilion_in_a_public_park,Open-air pavilion in a public park,urban_park,"Coastal living brochure energy: Place the story in Open-air pavilion in a public park, then lock focus on a thoughtfully arranged wellness still-life with premium empty space for the eye to rest. Depth builds with foreground blur, mid-ground hero, soft background atmosphere. Surface language is sun-bleached linen and pale stone; light language is candle-warm evening practicals plus cool window fill. Compose as a vertical 9:16 hero still that could open a premium Instagram reel. Sell modern health-and-wellness atmosphere with subtle research-product presence for Palm Beach Vitality. Photoreal only. No occupants, no medical theater. Do not print scene titles, captions, hex codes, watermarks, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Open-air pavilion in a public park. Environment bucket: urban park. Focal — a thoughtfully arranged wellness still-life with premium empty space for the eye to rest. Surface sun-bleached linen and pale stone; lighting candle-warm evening practicals plus cool window fill. Depth builds with foreground blur, mid-ground hero, soft background atmosphere. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",sun-bleached linen and pale stone,candle-warm evening practicals plus cool window fill,"slow high dolly-in from high medium at slight-high, straight forward path only (straight forward high), then hold",Active,0,,cool blue-hour coastal grade with warm interior accents,editorial wellness catalog frame,,dolly_in_high,high approach from high medium at slight-high
SCN-025,25,outdoor_fitness_area_under_string_lights,Outdoor fitness area under string lights,fitness,"Wide establishing energy: Health and wellness lifestyle scene. Setting — Outdoor fitness area under string lights. The frame discovers a small clear research vial and matching carton silhouette staged as quiet product jewelry. Negative space breathes; nothing feels cluttered or prop-dumped. Everything sits on soft limestone with coastal texture under crisp morning window light with specular glass highlights, materials behaving like physics not CGI. Let the place lead, then reward the eye with one quiet product focal point. Palm Beach Vitality premium wellness-world storytelling — exciting, calm, and never a laboratory set. Empty of people; no clinical procedure staging. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'Tesamorelin' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Outdoor fitness area under string lights. Environment bucket: fitness. Focal — a small clear research vial and matching carton silhouette staged as quiet product jewelry. Surface soft limestone with coastal texture; lighting crisp morning window light with specular glass highlights. Negative space breathes; nothing feels cluttered or prop-dumped. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",soft limestone with coastal texture,crisp morning window light with specular glass highlights,"locked tripod hold at eye-level, subject centered mid-frame, micro-focus only — camera body does not travel, direction locked, then hold",Active,0,,soft morning pastel grade with clean whites,calm spa-adjacent home still without clinical cues,Tesamorelin,static_lock,"tripod-locked eye-level hero, subject centered mid-frame"
SCN-026,26,foggy_lakeshore_at_dawn,Foggy lakeshore at dawn,water_calm,"Lifestyle wellness world: Foggy lakeshore at dawn. Intimate cinematic entry: A vertical 9:16 composition builds around a sealed research pen resting like a premium design object beside wellness props. Depth builds with foreground blur, mid-ground hero, soft background atmosphere. Ground the image on sun-bleached linen and pale stone with crisp morning window light with specular glass highlights. Let the place lead, then reward the eye with one quiet product focal point. This is outdoor/home atmosphere for Palm Beach Vitality — not a cleanroom, not a bench dump, not a sterile lab. Keep the space unoccupied by people or procedure props. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'Tesamorelin/Ipamorelin' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Foggy lakeshore at dawn. Environment bucket: water calm. Focal — a sealed research pen resting like a premium design object beside wellness props. Surface sun-bleached linen and pale stone; lighting crisp morning window light with specular glass highlights. Depth builds with foreground blur, mid-ground hero, soft background atmosphere. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",sun-bleached linen and pale stone,crisp morning window light with specular glass highlights,"slow straight push-in from wide toward closer detail at eye-level, path is a straight forward line only (straight forward), then hold",Active,0,,golden-hour amber grade restrained by true skin-free neutrals,environment-first lifestyle still with quiet product presence,Tesamorelin/Ipamorelin,push_in,"starts wide at eye-level, ends closer with detail readable"
SCN-027,27,flower_filled_meadow_at_midday,Flower-filled meadow at midday,forest_nature,"Architectural reveal: Place the story in Flower-filled meadow at midday, then lock focus on a sealed research pen resting like a premium design object beside wellness props. Reflections stay honest — no cloned second hero object. Surface language is sun-bleached linen and pale stone; light language is blue-hour cool ambient with warm practical pools. Compose as a vertical 9:16 hero still that could open a premium Instagram reel. Sell modern health-and-wellness atmosphere with subtle research-product presence for Palm Beach Vitality. Photoreal only. No occupants, no medical theater. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'Tirzepatide' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Flower-filled meadow at midday. Environment bucket: forest nature. Focal — a sealed research pen resting like a premium design object beside wellness props. Surface sun-bleached linen and pale stone; lighting blue-hour cool ambient with warm practical pools. Reflections stay honest — no cloned second hero object. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",sun-bleached linen and pale stone,blue-hour cool ambient with warm practical pools,"start on extreme close texture then slow straight pull-back to full hero at eye-level, path is a straight retreat only (straight backward), then hold",Active,0,,golden-hour amber grade restrained by true skin-free neutrals,architecture-and-atmosphere establishing shot,Tirzepatide,pull_back,"starts on extreme close texture, pulls back to full product at eye-level"
SCN-028,28,minimalist_home_office_with_standing_desk,Minimalist home office with standing desk,home_interior,"Quiet lifestyle tableau: Health and wellness lifestyle scene. Setting — Minimalist home office with standing desk. The frame discovers an elegant research vial on a stone coaster, label facing camera once only. Depth builds with foreground blur, mid-ground hero, soft background atmosphere. Everything sits on sun-bleached linen and pale stone under bright airy daylight through sheer curtains, materials behaving like physics not CGI. Use negative space generously so the lifestyle setting feels expansive. Palm Beach Vitality premium wellness-world storytelling — exciting, calm, and never a laboratory set. Empty of people; no clinical procedure staging. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly '5-Amino-1MQ' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Minimalist home office with standing desk. Environment bucket: home interior. Focal — an elegant research vial on a stone coaster, label facing camera once only. Surface sun-bleached linen and pale stone; lighting bright airy daylight through sheer curtains. Depth builds with foreground blur, mid-ground hero, soft background atmosphere. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",sun-bleached linen and pale stone,bright airy daylight through sheer curtains,"slow vertical rise from base of subject to top detail at eye-level rising, path is a straight up-line only (straight up), then hold",Active,0,,"editorial lifestyle catalog grade, high clarity, low drama",environment-first lifestyle still with quiet product presence,5-Amino-1MQ,vertical_rise,"begins at base of subject, rises to upper detail, eye-level rising"
SCN-029,29,covered_porch_with_hanging_swing,Covered porch with hanging swing,garden_outdoor_home,"Lifestyle wellness world: Covered porch with hanging swing. Golden-hour atmosphere: A vertical 9:16 composition builds around a small clear research vial and matching carton silhouette staged as quiet product jewelry. Long shadows cut a clean diagonal across the composition. Ground the image on sun-bleached linen and pale stone with dappled leaf-filtered sunlight. Prioritize photoreal materials: wood grain, linen weave, glass weight, sand, foliage. This is outdoor/home atmosphere for Palm Beach Vitality — not a cleanroom, not a bench dump, not a sterile lab. Keep the space unoccupied by people or procedure props. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'AOD-9604' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Covered porch with hanging swing. Environment bucket: garden outdoor home. Focal — a small clear research vial and matching carton silhouette staged as quiet product jewelry. Surface sun-bleached linen and pale stone; lighting dappled leaf-filtered sunlight. Long shadows cut a clean diagonal across the composition. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",sun-bleached linen and pale stone,dappled leaf-filtered sunlight,"slow vertical descend from above subject into settled hero at high settling to eye-level, path is a straight down-line only (straight down), then hold",Active,0,,golden-hour amber grade restrained by true skin-free neutrals,environment-first lifestyle still with quiet product presence,AOD-9604,vertical_descend,"starts above subject, settles downward to high settling to eye-level hero"
SCN-030,30,rocky_shoreline_with_gentle_waves,Rocky shoreline with gentle waves,beach_coast,"Fresh morning clarity: Place the story in Rocky shoreline with gentle waves, then lock focus on a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. Condensation beads map a gentle gradient on a cold glass of citrus water in bokeh. Surface language is sand-toned stone pavers; light language is twilight gradient sky wash. Prioritize photoreal materials: wood grain, linen weave, glass weight, sand, foliage. Sell modern health-and-wellness atmosphere with subtle research-product presence for Palm Beach Vitality. Photoreal only. No occupants, no medical theater. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'BPC-157' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Rocky shoreline with gentle waves. Environment bucket: beach coast. Focal — a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. Surface sand-toned stone pavers; lighting twilight gradient sky wash. Condensation beads map a gentle gradient on a cold glass of citrus water in bokeh. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",sand-toned stone pavers,twilight gradient sky wash,"slow lateral slide left to right starting left of subject at eye-level, focus locked on subject, straight horizontal path only, then hold",Active,0,,"editorial lifestyle catalog grade, high clarity, low drama",premium coastal lifestyle direction,BPC-157,lateral_ltr,subject off-center; camera slides left to right at eye-level
SCN-031,31,clean_bright_home_kitchen_at_sunrise,"Clean, bright home kitchen at sunrise",kitchen_cafe,"Editorial wellness frame: Health and wellness lifestyle scene. Setting — Clean, bright home kitchen at sunrise. The frame discovers a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. Long shadows cut a clean diagonal across the composition. Everything sits on woven natural fiber rug over hardwood under blue-hour cool ambient with warm practical pools, materials behaving like physics not CGI. Let the place lead, then reward the eye with one quiet product focal point. Palm Beach Vitality premium wellness-world storytelling — exciting, calm, and never a laboratory set. Empty of people; no clinical procedure staging. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'BPC-157/TB-500' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Clean, bright home kitchen at sunrise. Environment bucket: kitchen cafe. Focal — a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. Surface woven natural fiber rug over hardwood; lighting blue-hour cool ambient with warm practical pools. Long shadows cut a clean diagonal across the composition. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",woven natural fiber rug over hardwood,blue-hour cool ambient with warm practical pools,"slow lateral slide right to left starting right of subject at eye-level, focus locked on subject, straight horizontal path only, then hold",Active,0,,cool blue-hour coastal grade with warm interior accents,premium coastal lifestyle direction,BPC-157/TB-500,lateral_rtl,subject off-center; camera slides right to left at eye-level
SCN-032,32,palm_tree_lined_neighborhood_street,Palm tree-lined neighborhood street,urban_park,"Lifestyle wellness world: Palm tree-lined neighborhood street. Coastal living brochure energy: A vertical 9:16 composition builds around a lifestyle vignette where atmosphere leads and product presence stays subtle. Reflections stay honest — no cloned second hero object. Ground the image on packed earth trail with soft moss edges with soft overcast diffusion, even and flattering. Prioritize photoreal materials: wood grain, linen weave, glass weight, sand, foliage. This is outdoor/home atmosphere for Palm Beach Vitality — not a cleanroom, not a bench dump, not a sterile lab. Keep the space unoccupied by people or procedure props. Do not print scene titles, captions, hex codes, watermarks, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Palm tree-lined neighborhood street. Environment bucket: urban park. Focal — a lifestyle vignette where atmosphere leads and product presence stays subtle. Surface packed earth trail with soft moss edges; lighting soft overcast diffusion, even and flattering. Reflections stay honest — no cloned second hero object. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",packed earth trail with soft moss edges,"soft overcast diffusion, even and flattering","slow overhead descend straight down from higher overhead into true top-down 90 degrees composition, path is a straight vertical drop only, then hold",Active,0,,"fresh green outdoor grade, natural and airy",environment-first lifestyle still with quiet product presence,,top_down,overhead geometric catalog composition at true top-down 90 degrees
SCN-033,33,modern_home_gym_with_rubber_flooring,Modern home gym with rubber flooring,fitness,"Wide establishing energy: Place the story in Modern home gym with rubber flooring, then lock focus on an elegant research vial on a stone coaster, label facing camera once only. Negative space breathes; nothing feels cluttered or prop-dumped. Surface language is cool marble with gentle veining; light language is crisp morning window light with specular glass highlights. Prioritize photoreal materials: wood grain, linen weave, glass weight, sand, foliage. Sell modern health-and-wellness atmosphere with subtle research-product presence for Palm Beach Vitality. Photoreal only. No occupants, no medical theater. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'CJC' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Modern home gym with rubber flooring. Environment bucket: fitness. Focal — an elegant research vial on a stone coaster, label facing camera once only. Surface cool marble with gentle veining; lighting crisp morning window light with specular glass highlights. Negative space breathes; nothing feels cluttered or prop-dumped. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",cool marble with gentle veining,crisp morning window light with specular glass highlights,"measured tilt-up from underside to eye level at low-angle power pose, pivot only (tilt up only) — camera body does not truck around subject, then hold",Active,0,,"fresh green outdoor grade, natural and airy",environment-first lifestyle still with quiet product presence,CJC,tilt_up,low-angle power pose looking upward; starts on underside
SCN-034,34,crystal_clear_swimming_hole_in_the_woods,Crystal-clear swimming hole in the woods,forest_nature,"Intimate cinematic entry: Health and wellness lifestyle scene. Setting — Crystal-clear swimming hole in the woods. The frame discovers a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. The scene feels lived-in and calm, never clinical or laboratory. Everything sits on smooth concrete with soft satin finish under candle-warm evening practicals plus cool window fill, materials behaving like physics not CGI. Let the place lead, then reward the eye with one quiet product focal point. Palm Beach Vitality premium wellness-world storytelling — exciting, calm, and never a laboratory set. Empty of people; no clinical procedure staging. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'CJC (no DAC)/Ipamorelin' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Crystal-clear swimming hole in the woods. Environment bucket: forest nature. Focal — a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. Surface smooth concrete with soft satin finish; lighting candle-warm evening practicals plus cool window fill. The scene feels lived-in and calm, never clinical or laboratory. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",smooth concrete with soft satin finish,candle-warm evening practicals plus cool window fill,"measured tilt-down from upper rim onto the subject at high looking down, pivot only (tilt down only) — no lateral looping path, then hold",Active,0,,warm coastal wellness grade with honest neutrals,environment-first lifestyle still with quiet product presence,CJC (no DAC)/Ipamorelin,tilt_down,high looking down; starts at upper rim then tips down onto product
SCN-035,35,bright_living_room_with_large_plants,Bright living room with large plants,home_interior,"Lifestyle wellness world: Bright living room with large plants. Architectural reveal: A vertical 9:16 composition builds around a sealed research pen resting like a premium design object beside wellness props. The scene feels lived-in and calm, never clinical or laboratory. Ground the image on weathered teak decking with sunrise rim light with gentle haze. Use negative space generously so the lifestyle setting feels expansive. This is outdoor/home atmosphere for Palm Beach Vitality — not a cleanroom, not a bench dump, not a sterile lab. Keep the space unoccupied by people or procedure props. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'DSIP' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Bright living room with large plants. Environment bucket: home interior. Focal — a sealed research pen resting like a premium design object beside wellness props. Surface weathered teak decking; lighting sunrise rim light with gentle haze. The scene feels lived-in and calm, never clinical or laboratory. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",weathered teak decking,sunrise rim light with gentle haze,"extreme macro on engraved texture at macro flat-on, razor shallow depth of field, ultra-slow tiny forward drift only, then hard hold",Active,0,,"fresh green outdoor grade, natural and airy",macro-to-environment storytelling frame,DSIP,macro_detail,tight crop on engraved texture; macro flat-on macro
SCN-036,36,urban_green_rooftop_garden,Urban green rooftop garden,garden_outdoor_home,"Quiet lifestyle tableau: Place the story in Urban green rooftop garden, then lock focus on a small clear research vial and matching carton silhouette staged as quiet product jewelry. Materials read as real wood, glass, fabric, and stone — never CGI plastic. Surface language is soft limestone with coastal texture; light language is soft overcast diffusion, even and flattering. Use negative space generously so the lifestyle setting feels expansive. Sell modern health-and-wellness atmosphere with subtle research-product presence for Palm Beach Vitality. Photoreal only. No occupants, no medical theater. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'GHK-Cu' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Urban green rooftop garden. Environment bucket: garden outdoor home. Focal — a small clear research vial and matching carton silhouette staged as quiet product jewelry. Surface soft limestone with coastal texture; lighting soft overcast diffusion, even and flattering. Materials read as real wood, glass, fabric, and stone — never CGI plastic. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",soft limestone with coastal texture,"soft overcast diffusion, even and flattering","measured crane-down from high three-quarter to settled hero (high three-quarter to eye-level), path is a straight descending line (straight descending crane), then hold",Active,0,,"fresh green outdoor grade, natural and airy",editorial wellness catalog frame,GHK-Cu,crane_settle,"starts high three-quarter, settles to high three-quarter to eye-level"
SCN-037,37,cliffside_trail_overlooking_the_ocean,Cliffside trail overlooking the ocean,beach_coast,"Golden-hour atmosphere: Health and wellness lifestyle scene. Setting — Cliffside trail overlooking the ocean. The frame discovers a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. Color story stays natural: greens, sand, linen, ocean glass. Everything sits on packed earth trail with soft moss edges under golden-hour side light with long soft shadows, materials behaving like physics not CGI. Prioritize photoreal materials: wood grain, linen weave, glass weight, sand, foliage. Palm Beach Vitality premium wellness-world storytelling — exciting, calm, and never a laboratory set. Empty of people; no clinical procedure staging. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'GLOW' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Cliffside trail overlooking the ocean. Environment bucket: beach coast. Focal — a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. Surface packed earth trail with soft moss edges; lighting golden-hour side light with long soft shadows. Color story stays natural: greens, sand, linen, ocean glass. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",packed earth trail with soft moss edges,golden-hour side light with long soft shadows,"measured straight push-out from tight badge crop to full product at eye-level, path is a straight retreat only (straight backward), then hold",Active,0,,golden-hour amber grade restrained by true skin-free neutrals,environment-first lifestyle still with quiet product presence,GLOW,push_out,"starts tight badge crop, ends full product in frame at eye-level"
SCN-038,38,kitchen_table_set_with_colorful_produce,Kitchen table set with colorful produce,kitchen_cafe,"Lifestyle wellness world: Kitchen table set with colorful produce. Fresh morning clarity: A vertical 9:16 composition builds around a sealed research pen resting like a premium design object beside wellness props. A single shaft of sunlight picks out the product shoulder without looking staged. Ground the image on weathered teak decking with blue-hour cool ambient with warm practical pools. Let the place lead, then reward the eye with one quiet product focal point. This is outdoor/home atmosphere for Palm Beach Vitality — not a cleanroom, not a bench dump, not a sterile lab. Keep the space unoccupied by people or procedure props. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'KLOW' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Kitchen table set with colorful produce. Environment bucket: kitchen cafe. Focal — a sealed research pen resting like a premium design object beside wellness props. Surface weathered teak decking; lighting blue-hour cool ambient with warm practical pools. A single shaft of sunlight picks out the product shoulder without looking staged. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",weathered teak decking,blue-hour cool ambient with warm practical pools,"slow pedestal up a few centimeters from slightly below eye-line at eye-level, lighting wrap shifts on edges, no sideways travel (straight up pedestal), then hold",Active,0,,soft morning pastel grade with clean whites,editorial wellness catalog frame,KLOW,pedestal_up,catalog hero at eye-level; pedestal rises from slightly below eye-line
SCN-039,39,open_grassy_park_at_sunrise,Open grassy park at sunrise,urban_park,"Editorial wellness frame: Place the story in Open grassy park at sunrise, then lock focus on an elegant research vial on a stone coaster, label facing camera once only. A single shaft of sunlight picks out the product shoulder without looking staged. Surface language is smooth concrete with soft satin finish; light language is golden-hour side light with long soft shadows. Let the place lead, then reward the eye with one quiet product focal point. Sell modern health-and-wellness atmosphere with subtle research-product presence for Palm Beach Vitality. Photoreal only. No occupants, no medical theater. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'KPV' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Open grassy park at sunrise. Environment bucket: urban park. Focal — an elegant research vial on a stone coaster, label facing camera once only. Surface smooth concrete with soft satin finish; lighting golden-hour side light with long soft shadows. A single shaft of sunlight picks out the product shoulder without looking staged. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",smooth concrete with soft satin finish,golden-hour side light with long soft shadows,"slow pedestal down a few centimeters from slightly above eye-line at eye-level, lighting wrap shifts on edges, no sideways travel (straight down pedestal), then hold",Active,0,,"editorial lifestyle catalog grade, high clarity, low drama",environment-first lifestyle still with quiet product presence,KPV,pedestal_down,catalog hero at eye-level; pedestal settles from slightly above eye-line
