scene_id,category,scene_brief,status,times_used,last_used_at
60,Product Hero & Macro,"Top-down composition of research vial lying on its side on translucent frosted panel, warm under-light glow, minimal and precise.",Active,0,
61,Product Hero & Macro,"Extreme macro of pre-filled research pen on polished black reflective surface, soft rim light from behind, slow 360° orbit at eye level.",Active,0,
62,Product Hero & Macro,"Clear glass research vial gently floating and turning on matte pure white infinity surface, with gentle dry-ice style fog drifting, extreme macro push-in.",Active,0,
63,Product Hero & Macro,"Hero shot of sealed peptide vial with rubber stopper with dramatic single hard key light, with subtle floating dust motes in light beams, captured with gentle top-down descending crane.",Active,0,
64,Product Hero & Macro,"Detail study of research pen with visible liquid barrel focusing on liquid and glass, cool clinical blue-white LED, low angle tracking slide.",Active,0,
65,Product Hero & Macro,"Sterile research vial revealed with being placed with precise gloved hands, warm golden hour side light on dark charcoal concrete.",Active,0,
66,Product Hero & Macro,"Clean product portrait of precision research pen, with light caustics refracting across the surface, subtle handheld micro-movement.",Active,0,
67,Product Hero & Macro,Macro texture study of amber-tinted research vial label and glass under split complementary teal and amber.,Active,0,
68,Product Hero & Macro,"Dual research pens side by side in pure clinical emptiness, low-key selective highlight only, slow elegant movement.",Active,0,
69,Product Hero & Macro,"Side profile of single research pen standing upright showing liquid refraction, soft bounce from below, vertical rise from base to top.",Active,0,
70,Product Hero & Macro,"Top-down composition of research vial lying on its side on mirrored chrome surface, hard specular edge light, minimal and precise.",Active,0,
71,Laboratory & Scientific Environments,"Pre-filled research pen inside a clean laminar flow hood, soft rim light from behind, with soft particle haze, slow 360° orbit at eye level.",Active,0,
72,Laboratory & Scientific Environments,"Clear glass research vial on a sterile stainless work surface, clean high-key beauty lighting, with gentle dry-ice style fog drifting, extreme macro push-in.",Active,0,
73,Laboratory & Scientific Environments,"Sealed peptide vial with rubber stopper next to precise volumetric glassware, dramatic single hard key light, with subtle floating dust motes in light beams, gentle top-down descending crane.",Active,0,
74,Laboratory & Scientific Environments,"Research pen with visible liquid barrel under soft blue-white cleanroom lighting, cool clinical blue-white LED, in clean negative space, low angle tracking slide.",Active,0,
75,Laboratory & Scientific Environments,"Sterile research vial with gloved hands carefully handling it, warm golden hour side light, with soft bokeh circles drifting past, locked-off static with internal motion only.",Active,0,
76,Laboratory & Scientific Environments,"Precision research pen beside a digital analytical scale, soft diffused overhead, with light caustics refracting across the surface, subtle handheld micro-movement.",Active,0,
77,Laboratory & Scientific Environments,"Amber-tinted research vial in front of softly blurred lab equipment, split complementary teal and amber, with soft volumetric atmosphere, spiral orbit combined with slow push.",Active,0,
78,Laboratory & Scientific Environments,"Dual research pens side by side near a sterile packaging station, low-key selective highlight only, in pure clinical emptiness, lateral motion-control track.",Active,0,
79,Laboratory & Scientific Environments,"Single research pen standing upright in a cold storage rack with soft fog, soft bounce from below, with delicate condensation on glass, vertical rise from base to top.",Active,0,
80,Laboratory & Scientific Environments,"Research vial lying on its side on an organized research bench with minimal tools, hard specular edge light, with soft fabric movement in background, soft focus rack from background to product.",Active,0,
81,Laboratory & Scientific Environments,"Pre-filled research pen through the glass of a fume hood, volumetric god rays through haze, with abstract geometric light patterns, fast resolve into locked hero frame.",Active,0,
82,Laboratory & Scientific Environments,"Clear glass research vial next to clean pipettes and tips, soft window light with gentle falloff, with gentle liquid swirl inside the container, circular arc that never fully completes.",Active,0,
83,Laboratory & Scientific Environments,"Sealed peptide vial with rubber stopper in a bright modern laboratory environment, practical small LED panel visible in frame, with perfect mirror reflection below, over-the-shoulder gloved perspective.",Active,0,
84,Laboratory & Scientific Environments,"Research pen with visible liquid barrel with soft reflection on polished lab surfaces, cool overhead fluorescent lab feel, with soft shadow only, extreme high angle looking straight down.",Active,0,
85,Laboratory & Scientific Environments,"Sterile research vial during a careful visual inspection against light, warm under-light glow, with almost no shadow, pure beauty light, slow pull-out revealing environment.",Active,0,
86,Laboratory & Scientific Environments,"Precision research pen inside a clean laminar flow hood, soft rim light from behind, with soft particle haze, slow 360° orbit at eye level.",Active,0,
87,Laboratory & Scientific Environments,"Amber-tinted research vial on a sterile stainless work surface, clean high-key beauty lighting, with gentle dry-ice style fog drifting, extreme macro push-in.",Active,0,
88,Laboratory & Scientific Environments,"Dual research pens side by side next to precise volumetric glassware, dramatic single hard key light, with subtle floating dust motes in light beams, gentle top-down descending crane.",Active,0,
89,Laboratory & Scientific Environments,"Single research pen standing upright under soft blue-white cleanroom lighting, cool clinical blue-white LED, in clean negative space, low angle tracking slide.",Active,0,
90,Laboratory & Scientific Environments,"Research vial lying on its side with gloved hands carefully handling it, warm golden hour side light, with soft bokeh circles drifting past, locked-off static with internal motion only.",Active,0,
91,Laboratory & Scientific Environments,"Pre-filled research pen beside a digital analytical scale, soft diffused overhead, with light caustics refracting across the surface, subtle handheld micro-movement.",Active,0,
92,Laboratory & Scientific Environments,"Clear glass research vial in front of softly blurred lab equipment, split complementary teal and amber, with soft volumetric atmosphere, spiral orbit combined with slow push.",Active,0,
93,Laboratory & Scientific Environments,"Sealed peptide vial with rubber stopper near a sterile packaging station, low-key selective highlight only, in pure clinical emptiness, lateral motion-control track.",Active,0,
94,Laboratory & Scientific Environments,"Research pen with visible liquid barrel in a cold storage rack with soft fog, soft bounce from below, with delicate condensation on glass, vertical rise from base to top.",Active,0,
95,Laboratory & Scientific Environments,"Sterile research vial on an organized research bench with minimal tools, hard specular edge light, with soft fabric movement in background, soft focus rack from background to product.",Active,0,
96,Laboratory & Scientific Environments,"Precision research pen through the glass of a fume hood, volumetric god rays through haze, with abstract geometric light patterns, fast resolve into locked hero frame.",Active,0,
97,Laboratory & Scientific Environments,"Amber-tinted research vial next to clean pipettes and tips, soft window light with gentle falloff, with gentle liquid swirl inside the container, circular arc that never fully completes.",Active,0,
98,Laboratory & Scientific Environments,"Dual research pens side by side in a bright modern laboratory environment, practical small LED panel visible in frame, with perfect mirror reflection below, over-the-shoulder gloved perspective.",Active,0,
99,Laboratory & Scientific Environments,"Single research pen standing upright with soft reflection on polished lab surfaces, cool overhead fluorescent lab feel, with soft shadow only, extreme high angle looking straight down.",Active,0,
100,Laboratory & Scientific Environments,"Research vial lying on its side during a careful visual inspection against light, warm under-light glow, with almost no shadow, pure beauty light, slow pull-out revealing environment.",Active,0,
101,Laboratory & Scientific Environments,"Pre-filled research pen inside a clean laminar flow hood, soft rim light from behind, with soft particle haze, slow 360° orbit at eye level.",Active,0,
102,Laboratory & Scientific Environments,"Clear glass research vial on a sterile stainless work surface, clean high-key beauty lighting, with gentle dry-ice style fog drifting, extreme macro push-in.",Active,0,
103,Laboratory & Scientific Environments,"Sealed peptide vial with rubber stopper next to precise volumetric glassware, dramatic single hard key light, with subtle floating dust motes in light beams, gentle top-down descending crane.",Active,0,
104,Laboratory & Scientific Environments,"Research pen with visible liquid barrel under soft blue-white cleanroom lighting, cool clinical blue-white LED, in clean negative space, low angle tracking slide.",Active,0,
105,Laboratory & Scientific Environments,"Sterile research vial with gloved hands carefully handling it, warm golden hour side light, with soft bokeh circles drifting past, locked-off static with internal motion only.",Active,0,
106,Laboratory & Scientific Environments,"Precision research pen beside a digital analytical scale, soft diffused overhead, with light caustics refracting across the surface, subtle handheld micro-movement.",Active,0,
107,Laboratory & Scientific Environments,"Amber-tinted research vial in front of softly blurred lab equipment, split complementary teal and amber, with soft volumetric atmosphere, spiral orbit combined with slow push.",Active,0,
108,Laboratory & Scientific Environments,"Dual research pens side by side near a sterile packaging station, low-key selective highlight only, in pure clinical emptiness, lateral motion-control track.",Active,0,
109,Laboratory & Scientific Environments,"Single research pen standing upright in a cold storage rack with soft fog, soft bounce from below, with delicate condensation on glass, vertical rise from base to top.",Active,0,
110,Laboratory & Scientific Environments,"Research vial lying on its side on an organized research bench with minimal tools, hard specular edge light, with soft fabric movement in background, soft focus rack from background to product.",Active,0,
111,Laboratory & Scientific Environments,"Pre-filled research pen through the glass of a fume hood, volumetric god rays through haze, with abstract geometric light patterns, fast resolve into locked hero frame.",Active,0,
112,Laboratory & Scientific Environments,"Clear glass research vial next to clean pipettes and tips, soft window light with gentle falloff, with gentle liquid swirl inside the container, circular arc that never fully completes.",Active,0,
113,Laboratory & Scientific Environments,"Sealed peptide vial with rubber stopper in a bright modern laboratory environment, practical small LED panel visible in frame, with perfect mirror reflection below, over-the-shoulder gloved perspective.",Active,0,
114,Laboratory & Scientific Environments,"Research pen with visible liquid barrel with soft reflection on polished lab surfaces, cool overhead fluorescent lab feel, with soft shadow only, extreme high angle looking straight down.",Active,0,
115,Laboratory & Scientific Environments,"Sterile research vial during a careful visual inspection against light, warm under-light glow, with almost no shadow, pure beauty light, slow pull-out revealing environment.",Active,0,
116,Laboratory & Scientific Environments,"Precision research pen inside a clean laminar flow hood, soft rim light from behind, with soft particle haze, slow 360° orbit at eye level.",Active,0,
117,Laboratory & Scientific Environments,"Amber-tinted research vial on a sterile stainless work surface, clean high-key beauty lighting, with gentle dry-ice style fog drifting, extreme macro push-in.",Active,0,
118,Laboratory & Scientific Environments,"Dual research pens side by side next to precise volumetric glassware, dramatic single hard key light, with subtle floating dust motes in light beams, gentle top-down descending crane.",Active,0,
119,Laboratory & Scientific Environments,"Single research pen standing upright under soft blue-white cleanroom lighting, cool clinical blue-white LED, in clean negative space, low angle tracking slide.",Active,0,
120,Laboratory & Scientific Environments,"Research vial lying on its side with gloved hands carefully handling it, warm golden hour side light, with soft bokeh circles drifting past, locked-off static with internal motion only.",Active,0,
121,Laboratory & Scientific Environments,"Pre-filled research pen beside a digital analytical scale, soft diffused overhead, with light caustics refracting across the surface, subtle handheld micro-movement.",Active,0,
122,Laboratory & Scientific Environments,"Clear glass research vial in front of softly blurred lab equipment, split complementary teal and amber, with soft volumetric atmosphere, spiral orbit combined with slow push.",Active,0,
123,Laboratory & Scientific Environments,"Sealed peptide vial with rubber stopper near a sterile packaging station, low-key selective highlight only, in pure clinical emptiness, lateral motion-control track.",Active,0,
124,Laboratory & Scientific Environments,"Research pen with visible liquid barrel in a cold storage rack with soft fog, soft bounce from below, with delicate condensation on glass, vertical rise from base to top.",Active,0,
125,Laboratory & Scientific Environments,"Sterile research vial on an organized research bench with minimal tools, hard specular edge light, with soft fabric movement in background, soft focus rack from background to product.",Active,0,
126,Laboratory & Scientific Environments,"Precision research pen through the glass of a fume hood, volumetric god rays through haze, with abstract geometric light patterns, fast resolve into locked hero frame.",Active,0,
127,Laboratory & Scientific Environments,"Amber-tinted research vial next to clean pipettes and tips, soft window light with gentle falloff, with gentle liquid swirl inside the container, circular arc that never fully completes.",Active,0,
128,Laboratory & Scientific Environments,"Dual research pens side by side in a bright modern laboratory environment, practical small LED panel visible in frame, with perfect mirror reflection below, over-the-shoulder gloved perspective.",Active,0,
129,Laboratory & Scientific Environments,"Single research pen standing upright with soft reflection on polished lab surfaces, cool overhead fluorescent lab feel, with soft shadow only, extreme high angle looking straight down.",Active,0,
130,Laboratory & Scientific Environments,"Research vial lying on its side during a careful visual inspection against light, warm under-light glow, with almost no shadow, pure beauty light, slow pull-out revealing environment.",Active,0,
131,Laboratory & Scientific Environments,"Pre-filled research pen inside a clean laminar flow hood, soft rim light from behind, with soft particle haze, slow 360° orbit at eye level.",Active,0,
132,Laboratory & Scientific Environments,"Clear glass research vial on a sterile stainless work surface, clean high-key beauty lighting, with gentle dry-ice style fog drifting, extreme macro push-in.",Active,0,
133,Laboratory & Scientific Environments,"Sealed peptide vial with rubber stopper next to precise volumetric glassware, dramatic single hard key light, with subtle floating dust motes in light beams, gentle top-down descending crane.",Active,0,
134,Laboratory & Scientific Environments,"Research pen with visible liquid barrel under soft blue-white cleanroom lighting, cool clinical blue-white LED, in clean negative space, low angle tracking slide.",Active,0,
135,Laboratory & Scientific Environments,"Sterile research vial with gloved hands carefully handling it, warm golden hour side light, with soft bokeh circles drifting past, locked-off static with internal motion only.",Active,0,
136,Laboratory & Scientific Environments,"Precision research pen beside a digital analytical scale, soft diffused overhead, with light caustics refracting across the surface, subtle handheld micro-movement.",Active,0,
137,Laboratory & Scientific Environments,"Amber-tinted research vial in front of softly blurred lab equipment, split complementary teal and amber, with soft volumetric atmosphere, spiral orbit combined with slow push.",Active,0,
138,Laboratory & Scientific Environments,"Dual research pens side by side near a sterile packaging station, low-key selective highlight only, in pure clinical emptiness, lateral motion-control track.",Active,0,
139,Laboratory & Scientific Environments,"Single research pen standing upright in a cold storage rack with soft fog, soft bounce from below, with delicate condensation on glass, vertical rise from base to top.",Active,0,
140,Laboratory & Scientific Environments,"Research vial lying on its side on an organized research bench with minimal tools, hard specular edge light, with soft fabric movement in background, soft focus rack from background to product.",Active,0,
141,Molecular & Chemical Structure Visuals,"Clean 3d ball-and-stick model of a peptide chain, slowly rotating in dark space, soft rim light from behind, with soft particle haze, slow 360° orbit at eye level.",Active,0,
142,Molecular & Chemical Structure Visuals,"Soft ribbon cartoon representation of a peptide chain, gently undulating and turning, clean high-key beauty lighting, with gentle dry-ice style fog drifting, extreme macro push-in.",Active,0,
143,Molecular & Chemical Structure Visuals,"Elegant glowing node-and-bond network of a peptide chain, assembling bond by bond, dramatic single hard key light, with subtle floating dust motes in light beams, gentle top-down descending crane.",Active,0,
144,Molecular & Chemical Structure Visuals,"Translucent electron density cloud of a peptide chain, dissolving into particles then reforming, cool clinical blue-white LED, in clean negative space, low angle tracking slide.",Active,0,
145,Molecular & Chemical Structure Visuals,"Minimal line-art molecular diagram of a peptide chain, with soft internal volumetric light, warm golden hour side light, with soft bokeh circles drifting past, locked-off static with internal motion only.",Active,0,
146,Molecular & Chemical Structure Visuals,"High-end holographic projection style of a peptide chain, against pure black void, soft diffused overhead, with light caustics refracting across the surface, subtle handheld micro-movement.",Active,0,
147,Molecular & Chemical Structure Visuals,"Soft pastel scientific rendering of a peptide chain, with elegant orbital motion, split complementary teal and amber, with soft volumetric atmosphere, spiral orbit combined with slow push.",Active,0,
148,Molecular & Chemical Structure Visuals,"Dark dramatic molecular model with rim light of a peptide chain, as camera flies through the structure, low-key selective highlight only, in pure clinical emptiness, lateral motion-control track.",Active,0,
149,Molecular & Chemical Structure Visuals,"Wireframe structure with glowing edges of a peptide chain, with dual warm and cool lighting, soft bounce from below, with delicate condensation on glass, vertical rise from base to top.",Active,0,
150,Molecular & Chemical Structure Visuals,"Volumetric molecular form with internal light of a peptide chain, transitioning from structure into product silhouette, hard specular edge light, with soft fabric movement in background, soft focus rack from background to product.",Active,0,
151,Molecular & Chemical Structure Visuals,"Abstract particle-based structure of a peptide chain, slowly rotating in dark space, volumetric god rays through haze, with abstract geometric light patterns, fast resolve into locked hero frame.",Active,0,
152,Molecular & Chemical Structure Visuals,"Dual warm/cool lit molecular form of a peptide chain, gently undulating and turning, soft window light with gentle falloff, with gentle liquid swirl inside the container, circular arc that never fully completes.",Active,0,
153,Molecular & Chemical Structure Visuals,"Molecular model dissolving into atoms of a peptide chain, assembling bond by bond, practical small LED panel visible in frame, with perfect mirror reflection below, over-the-shoulder gloved perspective.",Active,0,
154,Molecular & Chemical Structure Visuals,"Large-scale molecular landscape the camera flies through of a peptide chain, dissolving into particles then reforming, cool overhead fluorescent lab feel, with soft shadow only, extreme high angle looking straight down.",Active,0,
155,Molecular & Chemical Structure Visuals,"Structure slowly assembling bond by bond of a peptide chain, with soft internal volumetric light, warm under-light glow, with almost no shadow, pure beauty light, slow pull-out revealing environment.",Active,0,
156,Molecular & Chemical Structure Visuals,"Clean 3d ball-and-stick model of a peptide chain, against pure black void, soft rim light from behind, with soft particle haze, slow 360° orbit at eye level.",Active,0,
157,Molecular & Chemical Structure Visuals,"Soft ribbon cartoon representation of a peptide chain, with elegant orbital motion, clean high-key beauty lighting, with gentle dry-ice style fog drifting, extreme macro push-in.",Active,0,
158,Molecular & Chemical Structure Visuals,"Elegant glowing node-and-bond network of a peptide chain, as camera flies through the structure, dramatic single hard key light, with subtle floating dust motes in light beams, gentle top-down descending crane.",Active,0,
159,Molecular & Chemical Structure Visuals,"Translucent electron density cloud of a peptide chain, with dual warm and cool lighting, cool clinical blue-white LED, in clean negative space, low angle tracking slide.",Active,0,
160,Molecular & Chemical Structure Visuals,"Minimal line-art molecular diagram of a peptide chain, transitioning from structure into product silhouette, warm golden hour side light, with soft bokeh circles drifting past, locked-off static with internal motion only.",Active,0,
161,Molecular & Chemical Structure Visuals,"High-end holographic projection style of a peptide chain, slowly rotating in dark space, soft diffused overhead, with light caustics refracting across the surface, subtle handheld micro-movement.",Active,0,
162,Molecular & Chemical Structure Visuals,"Soft pastel scientific rendering of a peptide chain, gently undulating and turning, split complementary teal and amber, with soft volumetric atmosphere, spiral orbit combined with slow push.",Active,0,
163,Molecular & Chemical Structure Visuals,"Dark dramatic molecular model with rim light of a peptide chain, assembling bond by bond, low-key selective highlight only, in pure clinical emptiness, lateral motion-control track.",Active,0,
164,Molecular & Chemical Structure Visuals,"Wireframe structure with glowing edges of a peptide chain, dissolving into particles then reforming, soft bounce from below, with delicate condensation on glass, vertical rise from base to top.",Active,0,
165,Molecular & Chemical Structure Visuals,"Volumetric molecular form with internal light of a peptide chain, with soft internal volumetric light, hard specular edge light, with soft fabric movement in background, soft focus rack from background to product.",Active,0,
166,Molecular & Chemical Structure Visuals,"Abstract particle-based structure of a peptide chain, against pure black void, volumetric god rays through haze, with abstract geometric light patterns, fast resolve into locked hero frame.",Active,0,
167,Molecular & Chemical Structure Visuals,"Dual warm/cool lit molecular form of a peptide chain, with elegant orbital motion, soft window light with gentle falloff, with gentle liquid swirl inside the container, circular arc that never fully completes.",Active,0,
168,Molecular & Chemical Structure Visuals,"Molecular model dissolving into atoms of a peptide chain, as camera flies through the structure, practical small LED panel visible in frame, with perfect mirror reflection below, over-the-shoulder gloved perspective.",Active,0,
169,Molecular & Chemical Structure Visuals,"Large-scale molecular landscape the camera flies through of a peptide chain, with dual warm and cool lighting, cool overhead fluorescent lab feel, with soft shadow only, extreme high angle looking straight down.",Active,0,
170,Molecular & Chemical Structure Visuals,"Structure slowly assembling bond by bond of a peptide chain, transitioning from structure into product silhouette, warm under-light glow, with almost no shadow, pure beauty light, slow pull-out revealing environment.",Active,0,
171,Molecular & Chemical Structure Visuals,"Clean 3d ball-and-stick model of a peptide chain, slowly rotating in dark space, soft rim light from behind, with soft particle haze, slow 360° orbit at eye level.",Active,0,
172,Molecular & Chemical Structure Visuals,"Soft ribbon cartoon representation of a peptide chain, gently undulating and turning, clean high-key beauty lighting, with gentle dry-ice style fog drifting, extreme macro push-in.",Active,0,
173,Molecular & Chemical Structure Visuals,"Elegant glowing node-and-bond network of a peptide chain, assembling bond by bond, dramatic single hard key light, with subtle floating dust motes in light beams, gentle top-down descending crane.",Active,0,
174,Molecular & Chemical Structure Visuals,"Translucent electron density cloud of a peptide chain, dissolving into particles then reforming, cool clinical blue-white LED, in clean negative space, low angle tracking slide.",Active,0,
175,Molecular & Chemical Structure Visuals,"Minimal line-art molecular diagram of a peptide chain, with soft internal volumetric light, warm golden hour side light, with soft bokeh circles drifting past, locked-off static with internal motion only.",Active,0,
176,Molecular & Chemical Structure Visuals,"High-end holographic projection style of a peptide chain, against pure black void, soft diffused overhead, with light caustics refracting across the surface, subtle handheld micro-movement.",Active,0,
177,Molecular & Chemical Structure Visuals,"Soft pastel scientific rendering of a peptide chain, with elegant orbital motion, split complementary teal and amber, with soft volumetric atmosphere, spiral orbit combined with slow push.",Active,0,
178,Molecular & Chemical Structure Visuals,"Dark dramatic molecular model with rim light of a peptide chain, as camera flies through the structure, low-key selective highlight only, in pure clinical emptiness, lateral motion-control track.",Active,0,
179,Molecular & Chemical Structure Visuals,"Wireframe structure with glowing edges of a peptide chain, with dual warm and cool lighting, soft bounce from below, with delicate condensation on glass, vertical rise from base to top.",Active,0,
180,Molecular & Chemical Structure Visuals,"Volumetric molecular form with internal light of a peptide chain, transitioning from structure into product silhouette, hard specular edge light, with soft fabric movement in background, soft focus rack from background to product.",Active,0,
181,Molecular & Chemical Structure Visuals,"Abstract particle-based structure of a peptide chain, slowly rotating in dark space, volumetric god rays through haze, with abstract geometric light patterns, fast resolve into locked hero frame.",Active,0,
